,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,42.0,43.0,116.0,37.0,0.49411764705882355,0.5316455696202531,0.6638655462184874,0.35714285714285715,0.5121951219512195,0.2567077287837667,0.5005135437718857
1,48.0,57.0,102.0,31.0,0.45714285714285713,0.6075949367088608,0.6302521008403361,0.4411764705882353,0.5217391304347826,0.23625063545285144,0.4518470319958682
2,43.0,68.0,91.0,35.0,0.38738738738738737,0.5512820512820513,0.5654008438818565,0.46835443037974683,0.455026455026455,0.11639907508575896,0.4101711364266238
3,43.0,52.0,107.0,35.0,0.45263157894736844,0.5512820512820513,0.6329113924050633,0.4008438818565401,0.49710982658959535,0.2150052925121548,0.4081808469215057
4,34.0,63.0,96.0,44.0,0.35051546391752575,0.4358974358974359,0.5485232067510548,0.4092827004219409,0.38857142857142857,0.037911359133306774,0.3811514902669485
5,40.0,51.0,108.0,38.0,0.43956043956043955,0.5128205128205128,0.6244725738396625,0.38396624472573837,0.47337278106508873,0.18556615521010683,0.4215813777618786
6,45.0,54.0,105.0,33.0,0.45454545454545453,0.5769230769230769,0.6329113924050633,0.4177215189873418,0.5084745762711863,0.22609307372045218,0.47113929970670987
7,45.0,58.0,101.0,33.0,0.4368932038834951,0.5769230769230769,0.6160337552742616,0.4345991561181435,0.4972375690607734,0.20109625046485186,0.40362809376103814
8,42.0,70.0,89.0,36.0,0.375,0.5384615384615384,0.5527426160337553,0.47257383966244726,0.4421052631578948,0.09243520462302778,0.38590820516174784
9,51.0,70.0,89.0,27.0,0.4214876033057851,0.6538461538461539,0.5907172995780591,0.510548523206751,0.5125628140703516,0.20077721001752072,0.4756241827678591
10,433.0,586.0,1004.0,349.0,0.42692816357491364,0.5536676403765012,0.60578307272276,0.4296209623089743,0.48083949661987757,0.1768241985003798,0.43097452085420657
