,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,18.0,37.0,1.0,0.14285714285714285,0.75,0.6779661016949152,0.3559322033898305,0.24,0.22195767271201686,0.14476465491607454
1,4.0,16.0,39.0,0.0,0.2,1.0,0.7288135593220338,0.3389830508474576,0.33333333333333337,0.37658754867650873,0.1275665124349335
2,3.0,21.0,34.0,1.0,0.125,0.75,0.6271186440677966,0.4067796610169492,0.21428571428571427,0.18842305260569037,0.13279012851474903
3,3.0,21.0,34.0,1.0,0.125,0.75,0.6271186440677966,0.4067796610169492,0.21428571428571427,0.18842305260569037,0.12322493552546744
4,3.0,18.0,37.0,1.0,0.14285714285714285,0.75,0.6779661016949152,0.3559322033898305,0.24,0.22195767271201686,0.10766682913860334
5,1.0,16.0,39.0,2.0,0.058823529411764705,0.3333333333333333,0.6896551724137931,0.29310344827586204,0.1,0.02064142513992948,0.058661588009414095
6,2.0,15.0,40.0,1.0,0.11764705882352941,0.6666666666666666,0.7241379310344828,0.29310344827586204,0.2,0.19167037629934516,0.1265229817555399
7,2.0,14.0,41.0,1.0,0.125,0.6666666666666666,0.7413793103448276,0.27586206896551724,0.21052631578947367,0.20421249154432672,0.11751949317738791
8,3.0,21.0,34.0,0.0,0.125,1.0,0.6379310344827587,0.41379310344827586,0.2222222222222222,0.27797972457128467,0.2573945981554677
9,3.0,13.0,41.0,1.0,0.1875,0.75,0.7586206896551724,0.27586206896551724,0.3,0.288722861326493,0.28926518883415436
10,27.0,173.0,376.0,9.0,0.13496848739495798,0.7416666666666666,0.6890707188778493,0.3416130917592052,0.22746532999164576,0.2180575878193302,0.14853769104617917
