,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,5.0,17.0,50.0,6.0,0.22727272727272727,0.45454545454545453,0.7051282051282052,0.28205128205128205,0.30303030303030304,0.15531829610877795,0.2516396482305573
1,7.0,18.0,49.0,4.0,0.28,0.6363636363636364,0.717948717948718,0.32051282051282054,0.3888888888888889,0.2742379841096453,0.36560497061745245
2,8.0,20.0,46.0,3.0,0.2857142857142857,0.7272727272727273,0.7012987012987013,0.36363636363636365,0.4102564102564102,0.3086066999241838,0.5756642050759698
3,6.0,11.0,55.0,5.0,0.35294117647058826,0.5454545454545454,0.7922077922077922,0.22077922077922077,0.42857142857142855,0.319568745353071,0.3500533557351739
4,7.0,18.0,48.0,4.0,0.28,0.6363636363636364,0.7142857142857143,0.3246753246753247,0.3888888888888889,0.271746488194703,0.41808164058164055
5,7.0,12.0,54.0,4.0,0.3684210526315789,0.6363636363636364,0.7922077922077922,0.24675324675324675,0.4666666666666667,0.36893922595746137,0.47401891038254673
6,7.0,23.0,43.0,4.0,0.23333333333333334,0.6363636363636364,0.6493506493506493,0.38961038961038963,0.34146341463414637,0.20657055646692335,0.3231897336175411
7,8.0,18.0,48.0,3.0,0.3076923076923077,0.7272727272727273,0.7272727272727273,0.33766233766233766,0.43243243243243246,0.33633639699815626,0.3801863169510228
8,4.0,15.0,52.0,6.0,0.21052631578947367,0.4,0.7272727272727273,0.24675324675324675,0.27586206896551724,0.13732632837452002,0.17702024948735473
9,5.0,27.0,40.0,5.0,0.15625,0.5,0.5844155844155844,0.4155844155844156,0.23809523809523808,0.06617511569299867,0.26815072212270485
10,64.0,179.0,485.0,44.0,0.27021511989042946,0.5900000000000001,0.7111388611388612,0.3148018648018648,0.367415574042992,0.24448258371804407,0.3583609752801965
