,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,8.0,58.0,9.0,3.0,0.12121212121212122,0.7272727272727273,0.21794871794871795,0.8461538461538461,0.2077922077922078,-0.13350693849893747,0.36051187149629804
1,9.0,51.0,16.0,2.0,0.15,0.8181818181818182,0.32051282051282054,0.7692307692307693,0.2535211267605634,0.04707644600466962,0.36009554292384205
2,7.0,57.0,9.0,4.0,0.109375,0.6363636363636364,0.2077922077922078,0.8311688311688312,0.18666666666666665,-0.21230194390211168,0.2253716152418623
3,8.0,61.0,5.0,3.0,0.11594202898550725,0.7272727272727273,0.16883116883116883,0.8961038961038961,0.2,-0.22589061522849765,0.39569874112786774
4,9.0,57.0,9.0,2.0,0.13636363636363635,0.8181818181818182,0.23376623376623376,0.8571428571428571,0.23376623376623376,-0.045454545454545456,0.27273077076879804
5,8.0,56.0,10.0,3.0,0.125,0.7272727272727273,0.23376623376623376,0.8311688311688312,0.21333333333333335,-0.11322770341445958,0.35536400569823623
6,10.0,50.0,16.0,1.0,0.16666666666666666,0.9090909090909091,0.33766233766233766,0.7792207792207793,0.2816901408450704,0.1278274981412284,0.3766779632603128
7,8.0,53.0,13.0,3.0,0.13114754098360656,0.7272727272727273,0.2727272727272727,0.7922077922077922,0.22222222222222224,-0.06533854668616458,0.31654252745990336
8,6.0,53.0,14.0,4.0,0.1016949152542373,0.6,0.2597402597402597,0.7662337662337663,0.17391304347826086,-0.1517435744141189,0.37783170082901085
9,8.0,49.0,18.0,2.0,0.14035087719298245,0.8,0.33766233766233766,0.7402597402597403,0.23880597014925373,0.052634197368749976,0.3439461545942904
10,81.0,545.0,119.0,27.0,0.12977527866587577,0.749090909090909,0.25904095904095903,0.8108891108891108,0.22117109450138117,-0.07199257260841874,0.33847708934004217
