,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,5.0,62.0,8.0,0.375,0.2727272727272727,0.8333333333333334,0.10256410256410256,0.3157894736842105,0.22726109681425471,0.27808857808857806
1,3.0,2.0,65.0,8.0,0.6,0.2727272727272727,0.8717948717948718,0.0641025641025641,0.37499999999999994,0.345122167117485,0.35738920170738353
2,4.0,4.0,62.0,7.0,0.5,0.36363636363636365,0.8571428571428571,0.1038961038961039,0.4210526315789474,0.34752402342845795,0.5819837678661208
3,2.0,2.0,64.0,9.0,0.5,0.18181818181818182,0.8571428571428571,0.05194805194805195,0.26666666666666666,0.23890924128374827,0.3269657434999644
4,3.0,3.0,63.0,8.0,0.5,0.2727272727272727,0.8571428571428571,0.07792207792207792,0.3529411764705882,0.2966954145484633,0.4458741258741259
5,2.0,2.0,64.0,9.0,0.5,0.18181818181818182,0.8571428571428571,0.05194805194805195,0.26666666666666666,0.23890924128374827,0.4234817610912699
6,2.0,4.0,62.0,9.0,0.3333333333333333,0.18181818181818182,0.8311688311688312,0.07792207792207792,0.23529411764705885,0.1582375544258471,0.3957206251820139
7,3.0,4.0,62.0,8.0,0.42857142857142855,0.2727272727272727,0.8441558441558441,0.09090909090909091,0.33333333333333326,0.2581988897471611,0.5222166722166722
8,1.0,1.0,66.0,9.0,0.5,0.1,0.8701298701298701,0.025974025974025976,0.16666666666666669,0.17980088489480586,0.177937512321074
9,2.0,5.0,62.0,8.0,0.2857142857142857,0.2,0.8311688311688312,0.09090909090909091,0.23529411764705882,0.14660333322756627,0.2679834733979471
10,25.0,32.0,632.0,83.0,0.4522619047619048,0.23000000000000004,0.851032301032301,0.07380952380952381,0.2968704850361197,0.24372618467715382,0.377764146124515
