,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,3.0,64.0,7.0,0.5714285714285714,0.36363636363636365,0.8717948717948718,0.08974358974358974,0.4444444444444444,0.3882897479458439,0.5394042185765388
1,4.0,3.0,64.0,7.0,0.5714285714285714,0.36363636363636365,0.8717948717948718,0.08974358974358974,0.4444444444444444,0.3882897479458439,0.30265107331583524
2,5.0,6.0,60.0,6.0,0.45454545454545453,0.45454545454545453,0.8441558441558441,0.14285714285714285,0.45454545454545453,0.36363636363636365,0.41481310486944073
3,3.0,4.0,62.0,8.0,0.42857142857142855,0.2727272727272727,0.8441558441558441,0.09090909090909091,0.33333333333333326,0.2581988897471611,0.33910207035872886
4,5.0,4.0,62.0,6.0,0.5555555555555556,0.45454545454545453,0.8701298701298701,0.11688311688311688,0.5,0.42906393528989223,0.35411360606566084
5,5.0,2.0,64.0,6.0,0.7142857142857143,0.45454545454545453,0.8961038961038961,0.09090909090909091,0.5555555555555556,0.5163977794943222,0.5462439935156684
6,6.0,11.0,55.0,5.0,0.35294117647058826,0.5454545454545454,0.7922077922077922,0.22077922077922077,0.42857142857142855,0.319568745353071,0.5326226551226552
7,6.0,6.0,60.0,5.0,0.5,0.5454545454545454,0.8571428571428571,0.15584415584415584,0.5217391304347826,0.4385290096535146,0.4672737324965561
8,0.0,2.0,65.0,10.0,0.0,0.0,0.8441558441558441,0.025974025974025976,0.0,-0.06308802978765118,0.07547313986640168
9,4.0,7.0,60.0,6.0,0.36363636363636365,0.4,0.8311688311688312,0.14285714285714285,0.380952380952381,0.2838961340444303,0.2766981965954569
10,42.0,48.0,616.0,66.0,0.4512392835922247,0.38545454545454544,0.8522810522810523,0.11665001665001665,0.40635861722818245,0.33227823233227916,0.3848395790782943
