,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,9.0,63.0,1.0,0.0,0.125,1.0,0.136986301369863,0.9863013698630136,0.2222222222222222,0.04419417382415922,0.37731481481481477
1,9.0,63.0,1.0,0.0,0.125,1.0,0.136986301369863,0.9863013698630136,0.2222222222222222,0.04419417382415922,0.2361111111111111
2,6.0,62.0,2.0,3.0,0.08823529411764706,0.6666666666666666,0.1095890410958904,0.9315068493150684,0.15584415584415584,-0.3931864547963143,0.29207781208548167
3,7.0,62.0,2.0,2.0,0.10144927536231885,0.7777777777777778,0.1232876712328767,0.9452054794520548,0.1794871794871795,-0.27588424665488775,0.17621578909852026
4,9.0,61.0,3.0,0.0,0.12857142857142856,1.0,0.1643835616438356,0.958904109589041,0.22784810126582278,0.07763237542601485,0.2139494874272996
5,9.0,63.0,1.0,0.0,0.125,1.0,0.136986301369863,0.9863013698630136,0.2222222222222222,0.04419417382415922,0.27288359788359795
6,8.0,61.0,2.0,1.0,0.11594202898550725,0.8888888888888888,0.1388888888888889,0.9583333333333334,0.20512820512820512,-0.13135173437318345,0.1182022489202526
7,9.0,62.0,1.0,0.0,0.1267605633802817,1.0,0.1388888888888889,0.9861111111111112,0.22499999999999998,0.04485613040162566,0.45928534167970786
8,9.0,61.0,2.0,0.0,0.12857142857142856,1.0,0.1527777777777778,0.9722222222222222,0.22784810126582278,0.06388765649999399,0.37890812890812886
9,9.0,58.0,5.0,0.0,0.13432835820895522,1.0,0.19444444444444445,0.9305555555555556,0.2368421052631579,0.10325202569555011,0.29438939679406906
10,84.0,616.0,20.0,6.0,0.11988583771975672,0.9333333333333333,0.14332191780821918,0.9641742770167427,0.21246645149210103,-0.037821172632872324,0.28193377287229837
