,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,1.0,1.0,6.0,0.0,0.5,1.0,0.875,0.25,0.6666666666666666,0.6546536707079772,1.0
3,1.0,0.0,7.0,0.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0
4,0.0,0.0,7.0,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.5833333333333334
5,1.0,0.0,7.0,0.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0
6,1.0,7.0,0.0,0.0,0.125,1.0,0.125,1.0,0.2222222222222222,0.0,0.5625
7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
8,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
9,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
10,4.0,31.0,41.0,1.0,0.2625,0.4,0.5875,0.45,0.28888888888888886,0.2654653670707977,0.8291666666666668
