,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,18.0,125.0,11.0,6.0,0.1258741258741259,0.75,0.18125,0.89375,0.21556886227544914,-0.1959618465963733,0.33807740686991355
1,17.0,124.0,12.0,7.0,0.12056737588652482,0.7083333333333334,0.18125,0.88125,0.20606060606060606,-0.22454668479309017,0.28119744125990126
2,17.0,118.0,18.0,7.0,0.1259259259259259,0.7083333333333334,0.21875,0.84375,0.2138364779874214,-0.1566719973134739,0.2170119813375725
3,19.0,124.0,12.0,5.0,0.13286713286713286,0.7916666666666666,0.19375,0.89375,0.22754491017964074,-0.1391613113510477,0.23587916895631367
4,19.0,123.0,13.0,5.0,0.13380281690140844,0.7916666666666666,0.2,0.8875,0.2289156626506024,-0.12740671520449187,0.3647150412952334
5,16.0,130.0,6.0,8.0,0.1095890410958904,0.6666666666666666,0.1375,0.9125,0.18823529411764706,-0.36547398910710954,0.20879408345599246
6,15.0,124.0,12.0,9.0,0.1079136690647482,0.625,0.16875,0.86875,0.18404907975460122,-0.3032380716431026,0.11550687597926669
7,19.0,131.0,5.0,5.0,0.12666666666666668,0.7916666666666666,0.15,0.9375,0.21839080459770116,-0.25308553412176554,0.2755489874547524
8,18.0,121.0,15.0,6.0,0.12949640287769784,0.75,0.20625,0.86875,0.2208588957055215,-0.14773136823638333,0.17562022407967157
9,18.0,125.0,11.0,6.0,0.1258741258741259,0.75,0.18125,0.89375,0.21556886227544914,-0.1959618465963733,0.2972194950278136
10,176.0,1245.0,115.0,64.0,0.1238577283034247,0.7333333333333334,0.18187499999999998,0.8881250000000002,0.21190294556046396,-0.21092393649632118,0.2509570705716431
