,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,8.0,30.0,1.0,0.3333333333333333,0.8,0.7906976744186046,0.27906976744186046,0.47058823529411764,0.4212789431414202,0.5966279069767442
1,3.0,12.0,26.0,2.0,0.2,0.6,0.6744186046511628,0.3488372093023256,0.3,0.19115792785929295,0.3373576343141561
2,5.0,19.0,19.0,0.0,0.20833333333333334,1.0,0.5581395348837209,0.5581395348837209,0.3448275862068966,0.3227486121839514,0.2869047619047619
3,6.0,15.0,22.0,0.0,0.2857142857142857,1.0,0.6511627906976745,0.4883720930232558,0.4444444444444445,0.4121700739793828,0.48125
4,1.0,10.0,27.0,5.0,0.09090909090909091,0.16666666666666666,0.6511627906976745,0.2558139534883721,0.11764705882352942,-0.08227729726087048,0.1250352360817477
5,2.0,15.0,22.0,4.0,0.11764705882352941,0.3333333333333333,0.5581395348837209,0.3953488372093023,0.1739130434782609,-0.051077820875741885,0.3136193285453716
6,2.0,21.0,16.0,3.0,0.08695652173913043,0.4,0.42857142857142855,0.5476190476190477,0.14285714285714285,-0.10902726334449736,0.19204765964356757
7,4.0,22.0,15.0,1.0,0.15384615384615385,0.8,0.4523809523809524,0.6190476190476191,0.25806451612903225,0.1369780776730122,0.4888278388278388
8,2.0,14.0,23.0,3.0,0.125,0.4,0.5952380952380952,0.38095238095238093,0.19047619047619047,0.01441874501821181,0.2982142857142857
9,4.0,10.0,27.0,1.0,0.2857142857142857,0.8,0.7380952380952381,0.3333333333333333,0.4210526315789473,0.36391267143702544,0.17920634920634917
10,33.0,146.0,227.0,20.0,0.18874540634131426,0.63,0.6098006644518272,0.42065337763012184,0.28638708492885623,0.1620282669811187,0.32990910012148233
