,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,16.0,13.0,15.0,3.0,0.5517241379310345,0.8421052631578947,0.6595744680851063,0.6170212765957447,0.6666666666666666,0.38142134193430505,0.6492375674152252
1,12.0,11.0,17.0,7.0,0.5217391304347826,0.631578947368421,0.6170212765957447,0.48936170212765956,0.5714285714285715,0.23435723526078794,0.6372235691399895
2,16.0,11.0,17.0,3.0,0.5925925925925926,0.8421052631578947,0.7021276595744681,0.574468085106383,0.6956521739130435,0.4459079392444798,0.6444997092850279
3,10.0,12.0,16.0,9.0,0.45454545454545453,0.5263157894736842,0.5531914893617021,0.46808510638297873,0.4878048780487805,0.09613160266404963,0.6172410182337132
4,11.0,13.0,15.0,7.0,0.4583333333333333,0.6111111111111112,0.5652173913043478,0.5217391304347826,0.5238095238095238,0.14344964910309757,0.5858725481595316
5,14.0,18.0,9.0,5.0,0.4375,0.7368421052631579,0.5,0.6956521739130435,0.5490196078431372,0.07509392614826384,0.3523467333150988
6,16.0,12.0,15.0,3.0,0.5714285714285714,0.8421052631578947,0.6739130434782609,0.6086956521739131,0.6808510638297872,0.4011956510627136,0.6442451667574632
7,15.0,13.0,14.0,4.0,0.5357142857142857,0.7894736842105263,0.6304347826086957,0.6086956521739131,0.6382978723404255,0.3107299650387684,0.5038598612502537
8,13.0,13.0,14.0,6.0,0.5,0.6842105263157895,0.5869565217391305,0.5652173913043478,0.5777777777777778,0.2013598991032266,0.5432108911955067
9,15.0,8.0,19.0,4.0,0.6521739130434783,0.7894736842105263,0.7391304347826086,0.5,0.7142857142857143,0.48566186425718266,0.58363460049757
10,138.0,124.0,151.0,51.0,0.5275751419023533,0.7295321637426901,0.6227567067530064,0.5648936170212766,0.6105593849943427,0.2775309073816875,0.5761371665249381
