,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,61.0,83.0,76.0,18.0,0.4236111111111111,0.7721518987341772,0.5756302521008403,0.6050420168067226,0.547085201793722,0.24096218911215775,0.48153309379208786
1,59.0,89.0,70.0,20.0,0.39864864864864863,0.7468354430379747,0.542016806722689,0.6218487394957983,0.5198237885462554,0.18167854455503596,0.4400496970454734
2,49.0,83.0,76.0,29.0,0.3712121212121212,0.6282051282051282,0.5274261603375527,0.5569620253164557,0.4666666666666667,0.10045193253973816,0.42451850858732726
3,60.0,99.0,60.0,18.0,0.37735849056603776,0.7692307692307693,0.5063291139240507,0.6708860759493671,0.5063291139240507,0.14658925979680695,0.38806249364297885
4,50.0,84.0,75.0,28.0,0.373134328358209,0.6410256410256411,0.5274261603375527,0.5654008438818565,0.4716981132075472,0.10685387995053702,0.3909954553553806
5,48.0,70.0,89.0,30.0,0.4067796610169492,0.6153846153846154,0.5780590717299579,0.4978902953586498,0.4897959183673469,0.16458849462337116,0.42422588363132285
6,62.0,79.0,80.0,16.0,0.4397163120567376,0.7948717948717948,0.5991561181434599,0.5949367088607594,0.5662100456621004,0.28526003174103076,0.47139639455687776
7,44.0,70.0,89.0,34.0,0.38596491228070173,0.5641025641025641,0.5611814345991561,0.4810126582278481,0.4583333333333333,0.11647705215016506,0.39544979029426613
8,54.0,104.0,55.0,24.0,0.34177215189873417,0.6923076923076923,0.459915611814346,0.6666666666666666,0.4576271186440678,0.03809696588797297,0.38460429565337034
9,56.0,103.0,56.0,22.0,0.3522012578616352,0.717948717948718,0.47257383966244726,0.6708860759493671,0.4725738396624472,0.07014997581035316,0.4618606921398436
10,543.0,864.0,726.0,239.0,0.3870398995010885,0.6942064264849075,0.5349714569372054,0.5931532106513491,0.49561431398075373,0.14511083261671692,0.42626963046989286
