,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,3.0,5.0,3.0,0.4,0.4,0.5384615384615384,0.38461538461538464,0.4000000000000001,0.025,0.65
1,3.0,4.0,4.0,2.0,0.42857142857142855,0.6,0.5384615384615384,0.5384615384615384,0.5,0.09759000729485333,0.3709090909090909
2,4.0,2.0,6.0,1.0,0.6666666666666666,0.8,0.7692307692307693,0.46153846153846156,0.7272727272727272,0.5367450401216932,0.9380952380952381
3,2.0,2.0,6.0,3.0,0.5,0.4,0.6153846153846154,0.3076923076923077,0.4444444444444445,0.15811388300841897,0.3773809523809524
4,3.0,1.0,7.0,2.0,0.75,0.6,0.7692307692307693,0.3076923076923077,0.6666666666666665,0.5006939628599933,0.8814285714285715
5,2.0,2.0,5.0,4.0,0.5,0.3333333333333333,0.5384615384615384,0.3076923076923077,0.4,0.05143444998736397,0.6148293835793835
6,2.0,1.0,6.0,3.0,0.6666666666666666,0.4,0.6666666666666666,0.25,0.5,0.29277002188455997,0.5367424242424241
7,3.0,2.0,5.0,2.0,0.6,0.6,0.6666666666666666,0.4166666666666667,0.6,0.3142857142857143,0.5158333333333334
8,3.0,3.0,4.0,2.0,0.5,0.6,0.5833333333333334,0.5,0.5454545454545454,0.1690308509457033,0.3474747474747475
9,2.0,2.0,5.0,3.0,0.5,0.4,0.5833333333333334,0.3333333333333333,0.4444444444444445,0.11952286093343936,0.4333333333333333
10,26.0,22.0,53.0,25.0,0.5511904761904762,0.5133333333333334,0.6269230769230768,0.3807692307692308,0.5228282828282828,0.226518679132174,0.5666027074777075
