,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
0,49.0,spring-boot,OperationMethodParameters,org.springframework.boot.actuate.endpoint.invoke.reflect.operationmethodparametertests.ismandatorywhennoannotationshouldreturntrue,False,False,True
1,49.0,spring-boot,OperationMethodParameters,org.springframework.boot.actuate.endpoint.invoke.reflect.operationmethodparametertests.ismandatorywhennullableannotationshouldreturnfalse,False,False,True
12,49.0,spring-boot,WebServerPortFileWriter,org.springframework.boot.web.context.webserverportfilewritertest.overrideportfilewithdefault,False,False,True
18,49.0,spring-boot,SampleWildFlyDeployApplicationIT,sample.samplewildflydeployapplicationit.testhealth,False,False,False
2,49.0,spring-boot,CommandLineIT,org.springframework.boot.cli.commandlineit.help,False,False,False
14,49.0,spring-boot,SampleTomcatDeployApplicationIT,sample.sampletomcatdeployapplicationit.errorfromexceptionforrequestacceptinghtmlproducesanhtmlresponse,False,False,True
15,49.0,spring-boot,SampleTomcatDeployApplicationIT,sample.sampletomcatdeployapplicationit.errorfromexceptionforrequestacceptingjsonproducesajsonresponse,False,False,True
19,49.0,spring-boot,SampleWildFlyDeployApplicationIT,sample.samplewildflydeployapplicationit.testhome,False,False,False
9,49.0,spring-boot,SysVinitLaunchScriptIT,org.springframework.boot.launchscript.sysvinitlaunchscriptit.launchwithrelativelogfolder,True,False,False
10,49.0,spring-boot,SysVinitLaunchScriptIT,org.springframework.boot.launchscript.sysvinitlaunchscriptit.statuswhenkilled,True,False,True
8,49.0,spring-boot,SysVinitLaunchScriptIT,org.springframework.boot.launchscript.sysvinitlaunchscriptit.launchwithdoublelinksinglejavaopt,True,False,False
16,49.0,spring-boot,SampleTomcatDeployApplicationIT,sample.sampletomcatdeployapplicationit.testhome,True,False,False
11,49.0,spring-boot,WebServerPortFileWriter,org.springframework.boot.web.context.webserverportfilewritertest.createmanagementportfile,False,True,False
17,49.0,spring-boot,SampleTomEEDeployApplicationIT,sample.sampletomeedeployapplicationit.testhome,False,False,False
6,49.0,spring-boot,ChangedFiles,org.springframework.boot.devtools.filewatch.changedfiletests.getrelativename,False,True,False
7,49.0,spring-boot,ClassLoaderFiles,org.springframework.boot.devtools.restart.classloader.classloaderfiletests.deletedcontentsmustbenull,False,False,False
4,49.0,spring-boot,JarCommand,org.springframework.boot.cli.jarcommandit.jarcreationwithincludes,False,True,False
5,49.0,spring-boot,JarCommand,org.springframework.boot.cli.jarcommandit.nosources,False,False,False
3,49.0,spring-boot,JarCommand,org.springframework.boot.cli.jarcommandit.jarcreation,False,True,False
13,49.0,spring-boot,SampleGlassfishDeployApplicationIT,sample.sampleglassfishdeployapplicationit.testhealth,False,False,False
