,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,3.0,25.0,3.0,0.5714285714285714,0.5714285714285714,0.8285714285714286,0.2,0.5714285714285714,0.4642857142857143,0.5040816326530612
1,1.0,3.0,25.0,6.0,0.25,0.14285714285714285,0.7428571428571429,0.11428571428571428,0.18181818181818182,0.04490132550669373,0.28214285714285714
2,3.0,6.0,22.0,4.0,0.3333333333333333,0.42857142857142855,0.7142857142857143,0.2571428571428571,0.375,0.19611613513818404,0.38027210884353735
3,3.0,7.0,21.0,3.0,0.3,0.5,0.7058823529411765,0.29411764705882354,0.37499999999999994,0.2091650066335189,0.4524509803921568
4,4.0,8.0,20.0,2.0,0.3333333333333333,0.6666666666666666,0.7058823529411765,0.35294117647058826,0.4444444444444444,0.3038948705590345,0.5627450980392157
5,5.0,5.0,23.0,1.0,0.5,0.8333333333333334,0.8235294117647058,0.29411764705882354,0.625,0.5478131126115972,0.5459558823529411
6,2.0,4.0,24.0,4.0,0.3333333333333333,0.3333333333333333,0.7647058823529411,0.17647058823529413,0.3333333333333333,0.19047619047619047,0.31437908496732025
7,3.0,7.0,21.0,3.0,0.3,0.5,0.7058823529411765,0.29411764705882354,0.37499999999999994,0.2091650066335189,0.46286764705882355
8,4.0,1.0,27.0,2.0,0.8,0.6666666666666666,0.9117647058823529,0.14705882352941177,0.7272727272727272,0.6791523742539991,0.7294117647058824
9,5.0,6.0,22.0,1.0,0.45454545454545453,0.8333333333333334,0.7941176470588235,0.3235294117647059,0.5882352941176471,0.5044503617935523,0.5904634581105169
10,34.0,50.0,230.0,29.0,0.4175974025974026,0.5476190476190476,0.7697478991596639,0.24537815126050422,0.4596532552414905,0.3349420097892003,0.48247705142663133
