,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,24.0,126.0,10.0,0.0,0.16,1.0,0.2125,0.9375,0.2758620689655173,0.1084652289093281,0.3402378076643723
1,23.0,129.0,7.0,1.0,0.1513157894736842,0.9583333333333334,0.1875,0.95,0.2613636363636364,0.01606231415508089,0.0941163393191094
2,24.0,132.0,4.0,0.0,0.15384615384615385,1.0,0.175,0.975,0.2666666666666667,0.06726727939963124,0.2624087192507715
3,20.0,128.0,8.0,4.0,0.13513513513513514,0.8333333333333334,0.175,0.925,0.23255813953488372,-0.14619957418529833,0.24070544298063826
4,22.0,132.0,4.0,2.0,0.14285714285714285,0.9166666666666666,0.1625,0.9625,0.24719101123595502,-0.10134483201751004,0.36438001227783445
5,21.0,129.0,7.0,3.0,0.14,0.875,0.175,0.9375,0.24137931034482757,-0.1084652289093281,0.253122276142599
6,20.0,130.0,6.0,4.0,0.13333333333333333,0.8333333333333334,0.1625,0.9375,0.2298850574712644,-0.18077538151554684,0.2964689778873692
7,23.0,130.0,6.0,1.0,0.1503267973856209,0.9583333333333334,0.18125,0.95625,0.2598870056497175,0.004278782161490047,0.08953715407231587
8,22.0,132.0,4.0,2.0,0.14285714285714285,0.9166666666666666,0.1625,0.9625,0.24719101123595502,-0.10134483201751004,0.09127714315980087
9,22.0,129.0,7.0,2.0,0.1456953642384106,0.9166666666666666,0.18125,0.94375,0.25142857142857145,-0.04937971009526116,0.23621843185013822
10,221.0,1297.0,63.0,19.0,0.1455366859126624,0.9208333333333332,0.1775,0.9487499999999999,0.2513412478896995,-0.04914359541149242,0.22684723046049493
