,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,11.0,18.0,118.0,13.0,0.3793103448275862,0.4583333333333333,0.80625,0.18125,0.4150943396226415,0.30215647557909125,0.2665211294745486
1,13.0,33.0,103.0,11.0,0.2826086956521739,0.5416666666666666,0.725,0.2875,0.3714285714285714,0.23590839783510675,0.3011455152406215
2,16.0,37.0,99.0,8.0,0.3018867924528302,0.6666666666666666,0.71875,0.33125,0.41558441558441556,0.2993718522178267,0.25093862034792713
3,17.0,36.0,100.0,7.0,0.32075471698113206,0.7083333333333334,0.73125,0.33125,0.44155844155844154,0.3365609021827741,0.38284702582133984
4,11.0,38.0,98.0,13.0,0.22448979591836735,0.4583333333333333,0.68125,0.30625,0.3013698630136986,0.13860479111073737,0.22016467859661926
5,16.0,22.0,114.0,8.0,0.42105263157894735,0.6666666666666666,0.8125,0.2375,0.5161290322580646,0.4236531293172207,0.4507360671402558
6,14.0,31.0,105.0,10.0,0.3111111111111111,0.5833333333333334,0.74375,0.28125,0.4057971014492754,0.2822459618623288,0.38078655498450387
7,13.0,25.0,111.0,11.0,0.34210526315789475,0.5416666666666666,0.775,0.2375,0.4193548387096774,0.30025901398210786,0.29144233690286325
8,18.0,39.0,97.0,6.0,0.3157894736842105,0.75,0.71875,0.35625,0.44444444444444436,0.34539868193364504,0.36158933003812493
9,14.0,35.0,101.0,10.0,0.2857142857142857,0.5833333333333334,0.71875,0.30625,0.3835616438356164,0.25252653722915164,0.2751269723140448
10,143.0,314.0,1046.0,97.0,0.3184823111078539,0.5958333333333333,0.743125,0.285625,0.4114322691904847,0.291668574324999,0.31812982308608484
