,idProject,nameProject,productionClass,testCase,SimilaritiesCoefficient,probabilityEagerTest,isEagerTest,isEagerTestManual,prediction
1,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testls,0.5907984433257979,0.4092015566742021,False,False,False
2,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testlsfile,0.5667748916318722,0.4332251083681278,False,False,False
3,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testlssortreverse,0.4415978951950008,0.5584021048049992,False,False,False
4,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testlsstarstarstarjava,0.3803774323187611,0.6196225676812389,True,False,False
5,36.0,unix4j,OptionSetDefinitionDataLoader,org.unix4j.codegen.optionsetdefinitiondataloadertest.testoptionsetdefinition,0.0,1.0,True,True,False
8,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testnewlinelengthabovetwo,0.725028203815097,0.274971796184903,False,False,False
10,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testnewlinelengthnegativewithoffsetandlengths,0.7383767635954874,0.2616232364045125,False,False,False
11,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testunixline,0.7284822870530744,0.2715177129469256,False,False,False
12,36.0,unix4j,LineOperation,org.unix4j.operation.lineoperationtest.testonlyevenlines,0.7330246855300536,0.2669753144699464,False,True,False
15,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_squeezeemptylines,0.7697500657566553,0.2302499342433447,False,False,False
19,36.0,unix4j,CutCommand,org.unix4j.unix.cuttest.testcharactercut2,0.6192644323460813,0.3807355676539187,False,False,False
21,36.0,unix4j,CutCommand,org.unix4j.unix.cuttest.testrangecut3,0.616887219191383,0.383112780808617,False,False,False
23,36.0,unix4j,EchoCommand,org.unix4j.unix.echotest.testtwomessages,0.7204369659937185,0.2795630340062814,False,False,False
25,36.0,unix4j,Unix4j,org.unix4j.unix.greptest.testcountonrelativefileswithcd,0.4523665796039466,0.5476334203960533,False,False,False
27,36.0,unix4j,Unix4j,org.unix4j.unix.greptest.testgrepwholeline,0.5063329946787483,0.4936670053212517,False,True,False
29,36.0,unix4j,HeadCommand,org.unix4j.unix.headtest.testhead_negativelines,0.6607560412130804,0.3392439587869196,False,False,False
30,36.0,unix4j,HeadCommand,org.unix4j.unix.headtest.testhead_noinput_1,0.6290909915083998,0.3709090084916002,False,False,False
33,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_delete,0.631679452188919,0.368320547811081,False,False,False
34,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_printquietcaseinsensitive,0.5819374038926024,0.4180625961073976,False,False,False
36,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceignorecase,0.6575646850596432,0.3424353149403568,False,False,False
38,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceoccurrence2,0.6371031571879747,0.3628968428120253,False,False,False
41,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortnumbersreverse,0.84077857167992,0.15922142832008,False,False,False
42,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortnumericreverse,0.8163630626853772,0.1836369373146228,False,False,False
43,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortoneline,0.4723701042145484,0.5276298957854516,False,False,False
44,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortuniqueignoreblanks,0.8190035420934649,0.180996457906535,False,False,False
46,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortwithduplicateuniques,0.8134293284961401,0.1865706715038598,False,False,False
47,36.0,unix4j,MultilineString,org.unix4j.unix.tailtest.testtail_1,0.7597702672672544,0.2402297327327456,False,False,False
51,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testsingleline,0.4344872765252793,0.5655127234747206,False,False,False
54,36.0,unix4j,XargsCommand,org.unix4j.unix.xargstest.testxargswithdefaultcommand,0.6938415062586779,0.3061584937413221,False,False,False
55,36.0,unix4j,XargsCommand,org.unix4j.unix.xargstest.testxargswithechoandargsfrom0variable,0.7443245605917728,0.2556754394082272,False,False,False
56,36.0,unix4j,XargsCommand,org.unix4j.unix.xargstest.testxargswithechoandargsfrom1variable,0.7020662075472183,0.2979337924527817,False,False,False
61,36.0,unix4j,ArgsUtil,org.unix4j.util.argsutiltest.testlswithshortoptionsandlongandfiles,0.4058660264372269,0.5941339735627731,False,False,False
63,36.0,unix4j,DecimalNumberStringComparator,org.unix4j.util.decimalnumberstringcomparatortest.testlargeintegers,0.317127942992736,0.6828720570072639,True,False,False
64,36.0,unix4j,DecimalNumberStringComparator,org.unix4j.util.decimalnumberstringcomparatortest.testrandomdoublepairs,0.2328025439043222,0.7671974560956778,True,False,False
65,36.0,unix4j,FileUtil,org.unix4j.util.fileutiltest.testrelativepath_5_nocommonancestor,0.6888676909102793,0.3111323090897206,False,False,False
69,36.0,unix4j,ScientificNumberStringComparator,org.unix4j.util.scientificnumberstringcomparatortest.testlargedecimals,0.2514580134487035,0.7485419865512966,True,False,False
72,36.0,unix4j,StringUtil,org.unix4j.util.stringutiltest.testfixedlengthwithintvalue,0.3895563639240738,0.6104436360759262,True,True,False
74,36.0,unix4j,StringUtil,org.unix4j.util.stringutiltest.testsplitlines,0.2198701325537743,0.7801298674462256,True,True,False
75,36.0,unix4j,VersionStringComparator,org.unix4j.util.versionstringcomparatortest.testequal,0.2949282507616166,0.7050717492383833,True,False,False
0,36.0,unix4j,CommandBuilder,org.unix4j.builder.commandbuildertest.testechogrepnomatch,0.5072727031724626,0.4927272968275373,False,False,False
6,36.0,unix4j,SimpleLine,org.unix4j.line.simplelinetest.testnewlinelengthabovetwo,0.5356218468086582,0.4643781531913418,False,False,False
7,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testcontentnull,0.5298370080432923,0.4701629919567077,False,False,False
9,36.0,unix4j,SingleCharSequenceLine,org.unix4j.line.singlecharsequencelinetest.testnewlinelengthnegative,0.7456029568756615,0.2543970431243385,False,False,False
13,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_numberlines,0.7914394984674926,0.2085605015325073,False,False,False
14,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_numbernonblanklines,0.8006305224425488,0.1993694775574511,False,False,False
16,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_squeezeemptylines_numberlines,0.794286000608503,0.205713999391497,False,False,False
17,36.0,unix4j,CatCommand,org.unix4j.unix.cattest.testcat_squeezeemptylines_numbernonblanklines,0.8004471153497352,0.1995528846502647,False,False,False
18,36.0,unix4j,CutCommand,org.unix4j.unix.cuttest.testcharactercut1,0.6508947469602598,0.3491052530397401,False,False,False
20,36.0,unix4j,CutCommand,org.unix4j.unix.cuttest.testrangecut1,0.6500711015237335,0.3499288984762665,False,False,False
22,36.0,unix4j,EchoCommand,org.unix4j.unix.echotest.testechoempty,0.7443302092816342,0.2556697907183658,False,False,False
24,36.0,unix4j,FromInputStream,org.unix4j.unix.frominputstream.testfrominputstream_filenotfound,0.6728384948943098,0.3271615051056902,False,False,False
26,36.0,unix4j,Unix4j,org.unix4j.unix.greptest.testgrepfilethendelete,0.5214470601569482,0.4785529398430518,False,True,False
28,36.0,unix4j,HeadCommand,org.unix4j.unix.headtest.testhead_6,0.6560146474513954,0.3439853525486046,False,False,False
31,36.0,unix4j,Ls,org.unix4j.unix.lstest.testlsalh,0.6444487369788675,0.3555512630211325,False,False,False
32,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_appendmissingbackslash4,0.5840014913892146,0.4159985086107853,False,False,False
35,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceglobalignorecase,0.5995464160321666,0.4004535839678333,False,False,False
37,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceoccurrence12,0.5556596643118178,0.4443403356881822,False,False,False
39,36.0,unix4j,MultilineString,org.unix4j.unix.sedtest.testsed_searchandreplaceoccurrence3,0.6401953143763274,0.3598046856236726,False,False,False
40,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortignoreblanks,0.8168465470295491,0.1831534529704509,False,False,False
45,36.0,unix4j,MultilineString,org.unix4j.unix.sorttest.testsortwithduplicatesignorecase,0.8085058495189796,0.1914941504810203,False,False,False
48,36.0,unix4j,UniqCommand,org.unix4j.unix.uniqtest.testuniq_global,0.761873792242634,0.238126207757366,False,False,False
49,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testemptyinput,0.5347036522909568,0.4652963477090431,False,False,False
50,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testmultipleoutputs,0.6322482678055834,0.3677517321944166,False,False,False
52,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testwccountchars,0.5981558642757521,0.4018441357242479,False,False,False
53,36.0,unix4j,WcCommand,org.unix4j.unix.wctest.testwclines,0.6333598714233362,0.3666401285766638,False,False,False
57,36.0,unix4j,ArgsUtil,org.unix4j.util.argsutiltest.testechowithlongoptionandmessage,0.4790139718656876,0.5209860281343124,False,False,False
58,36.0,unix4j,ArgsUtil,org.unix4j.util.argsutiltest.testgrepwithlongoptionandtwodelimiteddefaultoperands,0.5018175657492493,0.4981824342507507,False,False,False
59,36.0,unix4j,ArgsUtil,org.unix4j.util.argsutiltest.testgrepwithlongoptionnamedoperandanddefaultdelimitedoperand,0.4942354936996119,0.5057645063003882,False,False,False
60,36.0,unix4j,ArgsUtil,org.unix4j.util.argsutiltest.testgrepwithtwodefaultoperands,0.4284773077110485,0.5715226922889515,False,False,False
62,36.0,unix4j,DecimalNumberStringComparator,org.unix4j.util.decimalnumberstringcomparatortest.testdoubleminmaxvalue,0.2673799733739407,0.7326200266260592,True,False,False
66,36.0,unix4j,MonthStringComparator,org.unix4j.util.monthstringcomparatortest.testcompareus,0.5010395463459635,0.4989604536540365,False,True,False
67,36.0,unix4j,RelativePathBase,org.unix4j.util.relativepathbasetest.testrelativepath_3_indirectparent,0.6211150322482155,0.3788849677517845,False,False,False
68,36.0,unix4j,ScientificNumberStringComparator,org.unix4j.util.scientificnumberstringcomparatortest.testdoubleminmaxvalue,0.2631310001200826,0.7368689998799174,True,False,False
70,36.0,unix4j,ScientificNumberStringComparator,org.unix4j.util.scientificnumberstringcomparatortest.testrandomverylongintegerpairs,0.375478971280958,0.624521028719042,True,False,False
71,36.0,unix4j,StringUtil,org.unix4j.util.stringutiltest.findstartandendtrimnewlinechars,0.5218344583886392,0.4781655416113608,False,True,False
73,36.0,unix4j,StringUtil,org.unix4j.util.stringutiltest.testfixedlengthwithstringvalueandfiller,0.4772601518366984,0.5227398481633017,False,True,False
76,36.0,unix4j,VersionStringComparator,org.unix4j.util.versionstringcomparatortest.testprefixedversionstrings,0.2414620617399564,0.7585379382600436,True,False,False
