,idProject,nameProject,productionClass,testCase,NMC,SimilaritiesCoefficient,isEagerTest,isEagerTestManual,prediction
0,1.0,spring-ws,SimpleFaultMessageResolver,org.springframework.ws.client.core.simplefaultmessageresolvertest.testresolvefault,0.0,0.4416419579791066,False,False,True
5,1.0,spring-ws,PayloadValidatingInterceptor,org.springframework.ws.client.support.interceptor.payloadvalidatinginterceptortest.testhandleinvalidresponse,0.0,0.7139093173233536,False,False,True
9,1.0,spring-ws,DefaultMessageContext,org.springframework.ws.context.defaultmessagecontexttest.testrequest,0.0,0.3055840812883418,True,True,False
10,1.0,spring-ws,DefaultMessageContext,org.springframework.ws.context.defaultmessagecontexttest.testresponse,0.0,0.3676464750047841,True,True,True
11,1.0,spring-ws,DefaultMethodEndpointAdapter,org.springframework.ws.server.endpoint.adapter.defaultmethodendpointadaptertest.supportssupported,0.0,0.5857262675861366,False,False,False
12,1.0,spring-ws,GenericMarshallingMethodEndpointAdapter,org.springframework.ws.server.endpoint.adapter.genericmarshallingmethodendpointadaptertest.testnoresponse,0.0,0.5073907802460845,False,True,False
13,1.0,spring-ws,GenericMarshallingMethodEndpointAdapter,org.springframework.ws.server.endpoint.adapter.genericmarshallingmethodendpointadaptertest.testunsupportedmethodmultipleparams,0.0,0.5131605858429341,False,True,False
14,1.0,spring-ws,GenericMarshallingMethodEndpointAdapter,org.springframework.ws.server.endpoint.adapter.genericmarshallingmethodendpointadaptertest.testunsupportedmethodwrongreturntype,0.0,0.5482620709313447,False,True,False
16,1.0,spring-ws,MarshallingMethodEndpointAdapter,org.springframework.ws.server.endpoint.adapter.marshallingmethodendpointadaptertest.testresponse,0.0,0.5747148928064273,False,True,False
19,1.0,spring-ws,JaxbElementPayloadMethodProcessor,org.springframework.ws.server.endpoint.adapter.method.jaxb.jaxbelementpayloadmethodprocessortest.handlereturnvalueaxiom,1.0,0.4952065072550559,False,True,True
21,1.0,spring-ws,JaxbElementPayloadMethodProcessor,org.springframework.ws.server.endpoint.adapter.method.jaxb.jaxbelementpayloadmethodprocessortest.resolveargument,1.0,0.4776911296607823,False,True,True
23,1.0,spring-ws,XmlRootElementPayloadMethodProcessor,org.springframework.ws.server.endpoint.adapter.method.jaxb.xmlrootelementpayloadmethodprocessortest.resolveargumentfromcustomsaxsource,3.0,0.4484163294396977,False,True,False
25,1.0,spring-ws,MarshallingPayloadMethodProcessor,org.springframework.ws.server.endpoint.adapter.method.marshallingpayloadmethodprocessortest.resolveargumentnounmarshaller,1.0,0.4805384737666255,False,False,False
27,1.0,spring-ws,MarshallingPayloadMethodProcessor,org.springframework.ws.server.endpoint.adapter.method.marshallingpayloadmethodprocessortest.supportsreturntypenomarshaller,0.0,0.5877951113462893,False,False,False
29,1.0,spring-ws,StaxPayloadMethodArgumentResolver,org.springframework.ws.server.endpoint.adapter.method.staxpayloadmethodargumentresolvertest.resolvestreamreaderstream,1.0,0.6145419728024827,False,False,False
35,1.0,spring-ws,XPathParamAnnotationMethodEndpointAdapter,org.springframework.ws.server.endpoint.adapter.xpathparamannotationmethodendpointadaptertest.testsupportssource,0.0,0.4383495204467723,False,False,True
36,1.0,spring-ws,XPathParamAnnotationMethodEndpointAdapter,org.springframework.ws.server.endpoint.adapter.xpathparamannotationmethodendpointadaptertest.testsupportsvoid,0.0,0.4320505286639677,False,False,False
37,1.0,spring-ws,PayloadTransformingInterceptor,org.springframework.ws.server.endpoint.interceptor.payloadtransforminginterceptortest.testnostylesheetsset,0.0,0.1959517465381411,True,False,True
38,1.0,spring-ws,EndpointMapping,org.springframework.ws.server.endpoint.mapping.endpointmappingtest.endpointinvalidbeanname,0.0,0.696904853131711,False,True,False
39,1.0,spring-ws,XmlRootElementEndpointMapping,org.springframework.ws.server.endpoint.mapping.jaxb.xmlrootelementendpointmappingtest.rootelement,0.0,0.4571980974746594,False,False,True
44,1.0,spring-ws,MethodEndpoint,org.springframework.ws.server.endpoint.methodendpointtest.testgetters,0.0,0.5217712041831836,False,True,False
45,1.0,spring-ws,NamespaceUtils,org.springframework.ws.server.endpoint.support.namespaceutilstest.getnamespacecontextclass,0.0,0.7804918435687551,False,False,True
47,1.0,spring-ws,PayloadRootUtils,org.springframework.ws.server.endpoint.support.payloadrootutilstest.testgetqnameforstaxsourceeventreader,0.0,0.8224587283307058,False,True,True
49,1.0,spring-ws,MessageDispatcher,org.springframework.ws.server.messagedispatchertest.testgetendpointadapterunsupportedendpoint,0.0,0.5483680481206507,False,True,False
50,1.0,spring-ws,MessageDispatcher,org.springframework.ws.server.messagedispatchertest.testinterceptedrequestflow,1.0,0.6300222931351307,False,True,True
52,1.0,spring-ws,MessageDispatcher,org.springframework.ws.server.messagedispatchertest.testprocessunsupportedendpointexception,1.0,0.5283152785808781,False,True,True
53,1.0,spring-ws,MessageDispatcher,org.springframework.ws.server.messagedispatchertest.testresolveexception,0.0,0.5838853633471376,False,True,False
56,1.0,spring-ws,NonCachingPayload,org.springframework.ws.soap.axiom.noncachingpayloadtest.testdelegatingstreamwriter,0.0,0.6901187970535233,False,True,True
62,1.0,spring-ws,SaajUtils,org.springframework.ws.soap.saaj.support.saajutilstest.testtoqnameprefixnamespace,0.0,0.6546051134549177,False,True,True
63,1.0,spring-ws,KeyManagersFactoryBean,org.springframework.ws.soap.security.support.keymanagersfactorybeantest.algorithm,0.0,0.9754417962982576,False,True,True
