,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,-0.3333333333333333,0.875
1,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,-1.0,0.6666666666666666
2,4.0,2.0,0.0,3.0,0.6666666666666666,0.5714285714285714,0.4444444444444444,0.6666666666666666,0.6153846153846153,-0.3779644730092272,0.8888888888888888
3,1.0,4.0,1.0,1.0,0.2,0.5,0.2857142857142857,0.7142857142857143,0.28571428571428575,-0.3,0.6428571428571428
4,1.0,1.0,3.0,2.0,0.5,0.3333333333333333,0.5714285714285714,0.2857142857142857,0.4,0.09128709291752768,0.7142857142857143
5,2.0,0.0,0.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,1.0
6,0.0,1.0,2.0,3.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,-0.4472135954999579,0.75
7,2.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.75
8,1.0,0.0,2.0,2.0,1.0,0.3333333333333333,0.6,0.2,0.5,0.4082482904638631,0.8
9,1.0,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666
10,14.0,13.0,11.0,18.0,0.5199999999999999,0.4404761904761905,0.4401587301587302,0.495,0.4301098901098901,-0.11256426851277945,0.775436507936508
