,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,18.0,15.0,1.0,0.14285714285714285,0.75,0.4864864864864865,0.5675675675675675,0.24,0.12820564851709268,0.5540540540540541
1,3.0,17.0,16.0,0.0,0.15,1.0,0.5277777777777778,0.5555555555555556,0.2608695652173913,0.26967994498529685,0.5416666666666666
2,1.0,17.0,16.0,0.0,0.05555555555555555,1.0,0.5,0.5294117647058824,0.10526315789473684,0.16412198797244362,0.5147058823529411
3,2.0,17.0,14.0,4.0,0.10526315789473684,0.3333333333333333,0.43243243243243246,0.5135135135135135,0.16,-0.15859535602326882,0.5810810810810811
4,2.0,10.0,19.0,5.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,0.3333333333333333,0.2105263157894737,-0.049629166698546515,0.5972222222222222
5,4.0,18.0,22.0,3.0,0.18181818181818182,0.5714285714285714,0.5531914893617021,0.46808510638297873,0.27586206896551724,0.08664002254439634,0.574468085106383
6,5.0,15.0,13.0,3.0,0.25,0.625,0.5,0.5555555555555556,0.35714285714285715,0.0747017880833996,0.6111111111111112
7,3.0,13.0,13.0,3.0,0.1875,0.5,0.5,0.5,0.2727272727272727,0.0,0.59375
8,1.0,18.0,17.0,4.0,0.05263157894736842,0.2,0.45,0.475,0.08333333333333333,-0.20814079896736404,0.5625
9,3.0,16.0,13.0,4.0,0.15789473684210525,0.42857142857142855,0.4444444444444444,0.5277777777777778,0.23076923076923078,-0.09763167236550803,0.5972222222222222
10,27.0,159.0,158.0,27.0,0.14501870205817574,0.5694047619047619,0.4977665963836177,0.5025800174392164,0.2196493801839813,0.020935239804794163,0.5727781324816681
