,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,2.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.3333333333333333,-0.16666666666666666,0.3186507936507937
1,2.0,1.0,4.0,2.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.5714285714285715,0.31622776601683794,0.4482638888888889
2,1.0,3.0,3.0,2.0,0.25,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.28571428571428575,-0.15811388300841897,0.2908730158730159
3,3.0,2.0,2.0,2.0,0.6,0.6,0.5555555555555556,0.5555555555555556,0.6,0.1,0.43936507936507935
4,3.0,2.0,1.0,6.0,0.6,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.42857142857142855,-0.29277002188455997,0.7359668109668112
5,4.0,2.0,4.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.6269360269360269
6,1.0,3.0,2.0,4.0,0.25,0.2,0.3,0.4,0.22222222222222224,-0.408248290463863,0.5059126984126985
7,3.0,2.0,5.0,3.0,0.6,0.5,0.6153846153846154,0.38461538461538464,0.5454545454545454,0.21957751641341997,0.45805028305028306
8,0.0,2.0,6.0,2.0,0.0,0.0,0.6,0.2,0.0,-0.25,0.17559523809523808
9,4.0,1.0,1.0,1.0,0.8,0.8,0.7142857142857143,0.7142857142857143,0.8000000000000002,0.3,0.6266666666666667
10,22.0,20.0,30.0,26.0,0.4766666666666667,0.42666666666666664,0.5324908424908424,0.4377472527472528,0.4453391053391053,-0.0006660246259917402,0.46262805019055026
