,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,2.0,7.0,5.0,0.0,0.0,0.5,0.14285714285714285,0.0,-0.3042903097250923,0.21174769674769672
1,0.0,0.0,10.0,6.0,0.0,0.0,0.625,0.0,0.0,0.0,0.6472705535205534
2,2.0,3.0,3.0,3.0,0.4,0.4,0.45454545454545453,0.45454545454545453,0.4000000000000001,-0.1,0.3695021645021645
3,2.0,0.0,6.0,2.0,1.0,0.5,0.8,0.2,0.6666666666666666,0.6123724356957946,0.8660714285714286
4,0.0,1.0,10.0,2.0,0.0,0.0,0.7692307692307693,0.07692307692307693,0.0,-0.12309149097933272,0.18333333333333335
5,3.0,1.0,4.0,2.0,0.75,0.6,0.7,0.4,0.6666666666666665,0.408248290463863,0.9183333333333333
6,1.0,1.0,4.0,4.0,0.5,0.2,0.5,0.2,0.28571428571428575,0.0,0.6914285714285714
7,2.0,0.0,7.0,3.0,1.0,0.4,0.75,0.16666666666666666,0.5714285714285715,0.5291502622129182,0.9380952380952381
8,3.0,1.0,8.0,4.0,0.75,0.42857142857142855,0.6875,0.25,0.5454545454545454,0.363696483726654,0.6843489843489843
9,1.0,3.0,4.0,6.0,0.25,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.18181818181818182,-0.31622776601683794,0.411306154163297
10,14.0,12.0,63.0,37.0,0.465,0.2671428571428571,0.6143419080919081,0.21767066267066268,0.3317748917748917,0.10698579053779667,0.59214374580446
