,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,2.0,0.0,6.0,0.6666666666666666,0.4,0.3333333333333333,0.5,0.5,-0.4472135954999579,0.8061904761904761
1,4.0,2.0,1.0,5.0,0.6666666666666666,0.4444444444444444,0.4166666666666667,0.5,0.5333333333333333,-0.19245008972987526,0.8047138047138047
2,5.0,0.0,2.0,3.0,1.0,0.625,0.7,0.5,0.7692307692307693,0.5,0.9593253968253969
3,3.0,1.0,2.0,7.0,0.75,0.3,0.38461538461538464,0.3076923076923077,0.4285714285714285,-0.03042903097250923,0.7805952380952381
4,3.0,1.0,2.0,6.0,0.75,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.46153846153846156,0.0,0.8785493827160493
5,3.0,1.0,0.0,6.0,0.75,0.3333333333333333,0.3,0.4,0.46153846153846156,-0.408248290463863,0.7347442680776014
6,1.0,1.0,1.0,5.0,0.5,0.16666666666666666,0.25,0.25,0.25,-0.3333333333333333,0.6458333333333333
7,0.0,0.0,2.0,6.0,0.0,0.0,0.25,0.0,0.0,0.0,0.9642857142857142
8,4.0,0.0,1.0,5.0,1.0,0.4444444444444444,0.5,0.4,0.6153846153846153,0.2721655269759087,1.0
9,3.0,1.0,1.0,3.0,0.75,0.5,0.5,0.5,0.6,0.0,0.7787698412698412
10,30.0,9.0,12.0,52.0,0.6833333333333333,0.35472222222222227,0.40512820512820513,0.3691025641025641,0.4619597069597069,-0.06395088130236301,0.8353007455507455
