,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,6.0,2.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,
1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,0.0,9.0,1.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,
3,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
4,1.0,2.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.75,0.5,0.3333333333333333,0.25
5,0.0,3.0,4.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,
6,0.0,4.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,
7,0.0,3.0,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,
8,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
9,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
10,1.0,38.0,15.0,0.0,0.03333333333333333,0.1,0.3288095238095238,0.6961904761904761,0.05,0.03333333333333333,0.25
