,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.5,0.16666666666666666
2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5,2.0,0.0,3.0,2.0,1.0,0.5,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.5477225575051661,0.8839285714285714
6,0.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.7916666666666666
7,1.0,0.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.7916666666666666
8,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
9,0.0,0.0,2.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.29166666666666663
10,3.0,1.0,12.0,9.0,0.2,0.1,0.5547619047619048,0.09523809523809523,0.13333333333333333,0.054772255750516606,0.5607993197278911
