,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,6.0,4.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0
1,0.0,1.0,5.0,6.0,0.0,0.0,0.4166666666666667,0.08333333333333333,0.0,-0.30151134457776363,0.4246873496873497
2,0.0,2.0,9.0,7.0,0.0,0.0,0.5,0.1111111111111111,0.0,-0.2820380374088831,0.3505516309087737
3,0.0,1.0,6.0,4.0,0.0,0.0,0.5454545454545454,0.09090909090909091,0.0,-0.23904572186687872,0.38159722222222225
4,0.0,1.0,4.0,4.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,-0.31622776601683794,0.4625
5,1.0,1.0,2.0,8.0,0.5,0.1111111111111111,0.25,0.16666666666666666,0.1818181818181818,-0.25819888974716115,0.7752605419272085
6,1.0,0.0,12.0,1.0,1.0,0.5,0.9285714285714286,0.07142857142857142,0.6666666666666666,0.6793662204867574,0.7083333333333333
7,2.0,1.0,2.0,5.0,0.6666666666666666,0.2857142857142857,0.4,0.3,0.4,-0.047619047619047616,0.6433106575963718
8,0.0,2.0,4.0,6.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,-0.4472135954999579,0.3948893698893699
9,1.0,1.0,5.0,4.0,0.5,0.2,0.5454545454545454,0.18181818181818182,0.28571428571428575,0.04303314829119352,0.4847222222222221
10,5.0,10.0,55.0,49.0,0.26666666666666666,0.10968253968253967,0.49639249639249633,0.1283044733044733,0.15341991341991343,-0.11694550339585792,0.5625852327786852
