,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,0.0,3.0,4.0,1.0,0.42857142857142855,0.6,0.3,0.6,0.42857142857142855,0.8198979591836735
1,3.0,0.0,8.0,5.0,1.0,0.375,0.6875,0.1875,0.5454545454545454,0.48038446141526137,0.828937728937729
2,1.0,2.0,4.0,7.0,0.3333333333333333,0.125,0.35714285714285715,0.21428571428571427,0.18181818181818182,-0.251259453814803,0.4930179195804196
3,1.0,1.0,5.0,15.0,0.5,0.0625,0.2727272727272727,0.09090909090909091,0.1111111111111111,-0.1613743060919757,0.7758758221267897
4,0.0,1.0,2.0,4.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,-0.47140452079103173,0.5416666666666666
5,2.0,1.0,4.0,8.0,0.6666666666666666,0.2,0.4,0.2,0.30769230769230765,0.0,0.679047619047619
6,0.0,1.0,7.0,5.0,0.0,0.0,0.5384615384615384,0.07692307692307693,0.0,-0.22821773229381923,0.33399184149184147
7,3.0,1.0,6.0,9.0,0.75,0.25,0.47368421052631576,0.21052631578947367,0.375,0.1267731382092775,0.7772568118156354
8,4.0,0.0,4.0,8.0,1.0,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.9541562604062604
9,2.0,1.0,8.0,10.0,0.6666666666666666,0.16666666666666666,0.47619047619047616,0.14285714285714285,0.26666666666666666,0.07856742013183861,0.5999716505473085
10,19.0,8.0,51.0,75.0,0.5916666666666667,0.19410714285714287,0.4591420640762746,0.18158584836216413,0.2887742812742813,0.033537376866950956,0.6803820279803943
