,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,15.0,21.0,0.0,0.11764705882352941,1.0,0.6052631578947368,0.4473684210526316,0.21052631578947367,0.2619684159977919,0.07417582417582418
1,0.0,19.0,19.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
2,1.0,22.0,20.0,2.0,0.043478260869565216,0.3333333333333333,0.4666666666666667,0.5111111111111111,0.07692307692307691,-0.0950496913043515,0.06940643897165637
3,0.0,17.0,31.0,0.0,0.0,0.0,0.6458333333333334,0.3541666666666667,0.0,0.0,
4,0.0,11.0,16.0,0.0,0.0,0.0,0.5925925925925926,0.4074074074074074,0.0,0.0,
5,0.0,18.0,23.0,2.0,0.0,0.0,0.5348837209302325,0.4186046511627907,0.0,-0.1874085142663273,0.03211139528275078
6,1.0,17.0,15.0,0.0,0.05555555555555555,1.0,0.48484848484848486,0.5454545454545454,0.10526315789473684,0.1613743060919757,0.05555555555555555
7,0.0,17.0,17.0,2.0,0.0,0.0,0.4722222222222222,0.4722222222222222,0.0,-0.22941573387056177,0.03353174603174603
8,1.0,24.0,23.0,0.0,0.04,1.0,0.5,0.5208333333333334,0.07692307692307693,0.1399087848746689,0.16666666666666666
9,0.0,23.0,16.0,0.0,0.0,0.0,0.41025641025641024,0.5897435897435898,0.0,0.0,
10,5.0,183.0,201.0,6.0,0.02566808752486502,0.3333333333333333,0.521256658874468,0.47669119481542976,0.04696356275303644,0.0051377567523196,0.07190793778069993
