,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,6.0,10.0,2.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0.0,-0.25,0.06717171717171716
1,0.0,5.0,16.0,2.0,0.0,0.0,0.6956521739130435,0.21739130434782608,0.0,-0.16265001215808886,0.06340579710144928
2,0.0,4.0,12.0,4.0,0.0,0.0,0.6,0.2,0.0,-0.25,0.13421543734043734
3,0.0,5.0,8.0,1.0,0.0,0.0,0.5714285714285714,0.35714285714285715,0.0,-0.20672455764868078,0.08333333333333333
4,2.0,8.0,15.0,0.0,0.2,1.0,0.68,0.4,0.33333333333333337,0.36115755925730764,0.4618055555555556
5,1.0,11.0,14.0,1.0,0.08333333333333333,0.5,0.5555555555555556,0.4444444444444444,0.14285714285714285,0.0316227766016838,0.38125
6,2.0,6.0,14.0,0.0,0.25,1.0,0.7272727272727273,0.36363636363636365,0.4,0.4183300132670378,0.14821428571428572
7,0.0,5.0,8.0,1.0,0.0,0.0,0.5714285714285714,0.35714285714285715,0.0,-0.20672455764868078,0.03571428571428571
8,0.0,7.0,11.0,2.0,0.0,0.0,0.55,0.35,0.0,-0.24459979523511427,0.09090909090909091
9,0.0,4.0,12.0,1.0,0.0,0.0,0.7058823529411765,0.23529411764705882,0.0,-0.1386750490563073,0.03571428571428571
10,5.0,61.0,120.0,14.0,0.05333333333333333,0.25,0.6212775508095201,0.3258385277694741,0.08761904761904762,-0.0648263622620843,0.15017337885544407
