,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,6.0,6.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75
1,2.0,0.0,9.0,5.0,1.0,0.2857142857142857,0.6875,0.125,0.4444444444444445,0.42857142857142855,0.7991071428571429
2,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
3,1.0,0.0,12.0,2.0,1.0,0.3333333333333333,0.8666666666666667,0.06666666666666667,0.5,0.5345224838248488,0.7435897435897436
4,1.0,0.0,6.0,3.0,1.0,0.25,0.7,0.1,0.4,0.408248290463863,0.7916666666666666
5,0.0,0.0,4.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1
6,0.0,0.0,4.0,3.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.4761904761904762
7,1.0,0.0,4.0,3.0,1.0,0.25,0.625,0.125,0.4,0.3779644730092272,0.8125
8,0.0,0.0,6.0,4.0,0.0,0.0,0.6,0.0,0.0,0.0,0.75
9,1.0,0.0,5.0,5.0,1.0,0.16666666666666666,0.5454545454545454,0.09090909090909091,0.2857142857142857,0.28867513459481287,0.6927609427609427
10,6.0,0.0,65.0,32.0,0.5,0.1285714285714286,0.6896049783549782,0.05075757575757576,0.203015873015873,0.20379818104641806,0.6415814972064972
