,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,19.0,14.0,102.0,28.0,0.5757575757575758,0.40425531914893614,0.7423312883435583,0.20245398773006135,0.47500000000000003,0.3196707646741308,0.5981899015137175
1,18.0,9.0,123.0,26.0,0.6666666666666666,0.4090909090909091,0.8011363636363636,0.1534090909090909,0.5070422535211268,0.4096159602595202,0.5353594672825874
2,11.0,5.0,108.0,29.0,0.6875,0.275,0.7777777777777778,0.10457516339869281,0.3928571428571429,0.3313559825787818,0.5629325570538507
3,11.0,9.0,99.0,43.0,0.55,0.2037037037037037,0.6790123456790124,0.12345679012345678,0.2972972972972973,0.17249209004113947,0.5300932662529334
4,17.0,6.0,123.0,31.0,0.7391304347826086,0.3541666666666667,0.7909604519774012,0.12994350282485875,0.4788732394366197,0.4067759122799465,0.6498983737603815
5,18.0,11.0,111.0,28.0,0.6206896551724138,0.391304347826087,0.7678571428571429,0.17261904761904762,0.48,0.35532148979876726,0.6417955308427351
6,13.0,4.0,100.0,17.0,0.7647058823529411,0.43333333333333335,0.8432835820895522,0.12686567164179105,0.5531914893617021,0.4945566196262206,0.6149413750822043
7,21.0,7.0,91.0,27.0,0.75,0.4375,0.7671232876712328,0.1917808219178082,0.5526315789473685,0.4367968233527359,0.7040298430676514
8,12.0,7.0,108.0,32.0,0.631578947368421,0.2727272727272727,0.7547169811320755,0.11949685534591195,0.38095238095238093,0.2921989887757592,0.5933907278042589
9,9.0,9.0,102.0,42.0,0.5,0.17647058823529413,0.6851851851851852,0.1111111111111111,0.2608695652173913,0.14097096860865024,0.5629508228497909
10,149.0,81.0,1067.0,303.0,0.6486029162100627,0.33575521407322023,0.7609384406349301,0.14357120426218306,0.4378714947591029,0.3359755599995652,0.599358186551011
