,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,4.0,11.0,2.0,0.2,0.3333333333333333,0.6666666666666666,0.2777777777777778,0.25,0.05547001962252291,0.21388888888888888
1,1.0,2.0,10.0,1.0,0.3333333333333333,0.5,0.7857142857142857,0.21428571428571427,0.4,0.2842676218074806,0.20238095238095238
2,0.0,5.0,11.0,0.0,0.0,0.0,0.6875,0.3125,0.0,0.0,0.5
3,0.0,7.0,9.0,1.0,0.0,0.0,0.5294117647058824,0.4117647058823529,0.0,-0.2091650066335189,0.029411764705882353
4,0.0,5.0,12.0,0.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.0,0.5
5,2.0,4.0,4.0,1.0,0.3333333333333333,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.4444444444444444,0.14907119849998599,0.5315656565656566
6,0.0,1.0,18.0,1.0,0.0,0.0,0.9,0.05,0.0,-0.05263157894736842,0.25
7,0.0,1.0,4.0,2.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,-0.2581988897471611,0.14285714285714285
8,0.0,3.0,14.0,1.0,0.0,0.0,0.7777777777777778,0.16666666666666666,0.0,-0.10846522890932808,0.027777777777777776
9,0.0,2.0,9.0,4.0,0.0,0.0,0.6,0.13333333333333333,0.0,-0.23652495839563303,0.2791666666666667
10,4.0,34.0,102.0,13.0,0.08666666666666667,0.15,0.6769835964688906,0.25487575333163565,0.10944444444444446,-0.037617682270302,0.2677048849842968
