,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,36.0,28.0,88.0,11.0,0.5625,0.7659574468085106,0.7607361963190185,0.39263803680981596,0.6486486486486486,0.48660943492060016,0.6198943664571905
1,26.0,29.0,103.0,18.0,0.4727272727272727,0.5909090909090909,0.7329545454545454,0.3125,0.5252525252525252,0.3467858933083148,0.5761038657387412
2,24.0,20.0,93.0,16.0,0.5454545454545454,0.6,0.7647058823529411,0.2875816993464052,0.5714285714285713,0.41065686116484706,0.5987154292668999
3,31.0,24.0,84.0,23.0,0.5636363636363636,0.5740740740740741,0.7098765432098766,0.3395061728395062,0.5688073394495413,0.35026388886619525,0.5988091505437823
4,35.0,22.0,107.0,13.0,0.6140350877192983,0.7291666666666666,0.8022598870056498,0.3220338983050847,0.6666666666666667,0.5315046119487392,0.7213772811062571
5,35.0,24.0,98.0,11.0,0.5932203389830508,0.7608695652173914,0.7916666666666666,0.35119047619047616,0.6666666666666667,0.5270026809628661,0.6376556813733307
6,22.0,19.0,85.0,8.0,0.5365853658536586,0.7333333333333333,0.7985074626865671,0.30597014925373134,0.6197183098591549,0.49809531843815635,0.618358900783578
7,35.0,18.0,80.0,13.0,0.660377358490566,0.7291666666666666,0.7876712328767124,0.363013698630137,0.693069306930693,0.5328973817158229,0.7029737579931505
8,32.0,18.0,97.0,12.0,0.64,0.7272727272727273,0.8113207547169812,0.31446540880503143,0.6808510638297872,0.5499505989081552,0.6424137269794479
9,37.0,20.0,91.0,14.0,0.6491228070175439,0.7254901960784313,0.7901234567901234,0.35185185185185186,0.6851851851851852,0.5303443844285405,0.6502041465367143
10,313.0,222.0,926.0,139.0,0.5837659139882299,0.6936239767026893,0.7749822628079082,0.334075139203204,0.6326294283917441,0.4764111054662237,0.6366506306779092
