,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,25.0,2.0,0.0,0.10714285714285714,1.0,0.16666666666666666,0.9333333333333333,0.19354838709677416,0.0890870806374748,0.7023809523809524
1,4.0,20.0,7.0,0.0,0.16666666666666666,1.0,0.3548387096774194,0.7741935483870968,0.2857142857142857,0.20786985482077452,0.5833333333333334
2,6.0,26.0,6.0,0.0,0.1875,1.0,0.3157894736842105,0.8421052631578947,0.3157894736842105,0.1875,0.5828293010752689
3,9.0,19.0,5.0,2.0,0.32142857142857145,0.8181818181818182,0.4,0.8,0.46153846153846156,0.03077287274483318,0.6846872595795009
4,3.0,33.0,0.0,0.0,0.08333333333333333,1.0,0.08333333333333333,1.0,0.15384615384615385,0.0,0.041666666666666664
5,7.0,31.0,8.0,0.0,0.18421052631578946,1.0,0.32608695652173914,0.8260869565217391,0.3111111111111111,0.1943882059922358,0.3115907814050229
6,5.0,17.0,6.0,1.0,0.22727272727272727,0.8333333333333334,0.3793103448275862,0.7586206896551724,0.35714285714285715,0.08917506789905703,0.6109758297258298
7,9.0,19.0,4.0,1.0,0.32142857142857145,0.9,0.3939393939393939,0.8484848484848485,0.4736842105263158,0.09473729613780998,0.5253433179723502
8,6.0,18.0,1.0,1.0,0.25,0.8571428571428571,0.2692307692307692,0.9230769230769231,0.3870967741935483,-0.15018785229652767,0.5782298136645964
9,6.0,28.0,5.0,0.0,0.17647058823529413,1.0,0.28205128205128205,0.8717948717948718,0.3,0.16351748504193217,0.3707664884135472
10,58.0,236.0,44.0,5.0,0.20254538418238108,0.9408658008658008,0.29712469299324,0.857769643441188,0.3239471714853718,0.09068600109775898,0.49918037442170693
