,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,12.0,2.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.08712121212121213
1,0.0,4.0,13.0,2.0,0.0,0.0,0.6842105263157895,0.21052631578947367,0.0,-0.17712297710801905,0.0625
2,0.0,0.0,15.0,2.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.5525641025641026
3,0.0,1.0,7.0,2.0,0.0,0.0,0.7,0.1,0.0,-0.16666666666666666,0.20277777777777778
4,0.0,2.0,9.0,1.0,0.0,0.0,0.75,0.16666666666666666,0.0,-0.13483997249264842,0.1
5,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
6,0.0,2.0,12.0,1.0,0.0,0.0,0.8,0.13333333333333333,0.0,-0.10482848367219183,0.03333333333333333
7,0.0,3.0,14.0,3.0,0.0,0.0,0.7,0.15,0.0,-0.17647058823529413,0.13025210084033614
8,0.0,1.0,12.0,2.0,0.0,0.0,0.8,0.06666666666666667,0.0,-0.10482848367219183,0.07142857142857142
9,0.0,1.0,15.0,2.0,0.0,0.0,0.8333333333333334,0.05555555555555555,0.0,-0.08574929257125441,0.06666666666666667
10,0.0,14.0,122.0,17.0,0.0,0.0,0.800703965796845,0.08827485380116959,0.0,-0.09505064644182663,0.1806643764732
