,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,31.0,37.0,148.0,24.0,0.45588235294117646,0.5636363636363636,0.7458333333333333,0.2833333333333333,0.5040650406504065,0.3391687535030561,0.36899286889061167
1,39.0,38.0,148.0,19.0,0.5064935064935064,0.6724137931034483,0.7663934426229508,0.3155737704918033,0.5777777777777778,0.42876300997573635,0.4253216492998104
2,41.0,35.0,150.0,16.0,0.5394736842105263,0.7192982456140351,0.7892561983471075,0.3140495867768595,0.6165413533834586,0.4846493958428547,0.4258345361882914
3,37.0,41.0,138.0,15.0,0.47435897435897434,0.7115384615384616,0.7575757575757576,0.33766233766233766,0.5692307692307692,0.42611012225863054,0.44217020366978516
4,42.0,48.0,147.0,19.0,0.4666666666666667,0.6885245901639344,0.73828125,0.3515625,0.5562913907284768,0.39472380791749373,0.38581887134050735
5,39.0,47.0,131.0,22.0,0.45348837209302323,0.639344262295082,0.7112970711297071,0.3598326359832636,0.5306122448979591,0.34092413979873953,0.40408156853998806
6,38.0,29.0,128.0,18.0,0.5671641791044776,0.6785714285714286,0.7793427230046949,0.3145539906103286,0.6178861788617885,0.4682007986432177,0.5724162206649902
7,39.0,33.0,144.0,22.0,0.5416666666666666,0.639344262295082,0.7689075630252101,0.3025210084033613,0.5864661654135339,0.43046417765831296,0.41847466308470055
8,31.0,31.0,141.0,18.0,0.5,0.6326530612244898,0.7782805429864253,0.28054298642533937,0.5585585585585586,0.41832145067985416,0.39406534970388796
9,37.0,32.0,166.0,13.0,0.5362318840579711,0.74,0.8185483870967742,0.2782258064516129,0.6218487394957984,0.5178246085339049,0.49620022335663877
10,374.0,371.0,1441.0,186.0,0.5041426286592988,0.6685324468442325,0.7653716269121961,0.3137857956138239,0.5739278218998527,0.42491502648118,0.43333761547392113
