,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,6.0,2.0,29.0,2.0,0.75,0.75,0.8974358974358975,0.20512820512820512,0.75,0.6854838709677419,0.6118017399267399
1,2.0,10.0,29.0,2.0,0.16666666666666666,0.5,0.7209302325581395,0.27906976744186046,0.25,0.15774290243912734,0.12395025839793282
2,0.0,5.0,13.0,2.0,0.0,0.0,0.65,0.25,0.0,-0.19245008972987526,0.05
3,7.0,5.0,15.0,2.0,0.5833333333333334,0.7777777777777778,0.7586206896551724,0.41379310344827586,0.6666666666666666,0.49576089710907667,0.7987023353402665
4,2.0,3.0,26.0,5.0,0.4,0.2857142857142857,0.7777777777777778,0.1388888888888889,0.3333333333333333,0.20858729687192268,0.3788548752834467
5,5.0,3.0,17.0,3.0,0.625,0.625,0.7857142857142857,0.2857142857142857,0.625,0.475,0.59375
6,3.0,1.0,31.0,3.0,0.75,0.5,0.8947368421052632,0.10526315789473684,0.6,0.5569579929243793,0.6275062656641603
7,4.0,3.0,25.0,4.0,0.5714285714285714,0.5,0.8055555555555556,0.19444444444444445,0.5333333333333333,0.4126773604162709,0.49662698412698414
8,3.0,7.0,26.0,3.0,0.3,0.5,0.7435897435897436,0.2564102564102564,0.37499999999999994,0.23787196577216382,0.37655677655677655
9,1.0,5.0,27.0,2.0,0.16666666666666666,0.3333333333333333,0.8,0.17142857142857143,0.2222222222222222,0.13153419787541176,0.10396825396825397
10,33.0,44.0,238.0,28.0,0.4313095238095238,0.47718253968253965,0.7834361024391836,0.23001406807995245,0.43555555555555553,0.3169166394646219,0.416171748926456
