,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,-1.0,0.125
3,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,-1.0,0.1
4,0.0,3.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
6,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,-1.0,0.18333333333333335
7,0.0,3.0,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,
8,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
9,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
10,0.0,39.0,4.0,4.0,0.0,0.0,0.075,0.7466666666666667,0.0,-0.3,0.10208333333333333
