Type,Project,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
within,achilles,randomforest,6.0,0.0,65.0,32.0,0.5,0.15,0.6900000000000001,0.0590909090909091,0.2266666666666666,0.2255447320354421,0.7300000000000001
within,activiti,randomforest,0.0,0.0,23.0,2.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.6666666666666666
within,admiral,randomforest,2.0,1.0,284.0,139.0,0.15,0.0142857142857142,0.671373200442968,0.00703211517165,0.0258333333333333,0.0303072421394844,0.5434044040191232
within,alien4cloud,randomforest,3.0,0.0,77.0,1.0,0.3,0.3,0.9875,0.0361111111111111,0.3,0.3,0.765625
within,carbon-apimgt,randomforest,33.0,24.0,0.0,0.0,0.5799999999999998,1.0,0.5799999999999998,1.0,0.7316666666666667,0.0,0.8033333333333333
within,cukes,randomforest,0.0,0.0,13.0,2.0,0.0,0.0,0.9,0.0,0.0,0.0,0.75
within,dropwizard,randomforest,1.0,0.0,244.0,25.0,0.1,0.0333333333333333,0.9074074074074074,0.0037037037037037,0.05,0.0554700196225229,0.2639679487179487
within,elastic-job-lite,randomforest,6.0,1.0,116.0,17.0,0.45,0.2666666666666666,0.8714285714285713,0.0499999999999999,0.3233333333333333,0.3174085067324789,0.676587579087579
within,fastjson,randomforest,2.0,2.0,459.0,1.0,0.2,0.2,0.9935707678075856,0.0085568917668825,0.2,0.2,0.8368794326241135
within,hadoop,randomforest,282.0,153.0,995.0,170.0,0.6529562439666542,0.6237681159420291,0.7981250000000001,0.271875,0.6346429618252735,0.4985442781296563,0.6569553656266205
within,hbase,randomforest,12.0,20.0,616.0,78.0,0.365,0.1333333333333333,0.8649923896499239,0.0441400304414003,0.1821378621378621,0.1559412495670547,0.3347460813323676
within,hutool,randomforest,5.0,6.0,106.0,9.0,0.3833333333333333,0.35,0.8826923076923077,0.0852564102564102,0.3566666666666666,0.3112385757975107,0.6275641025641026
within,incubator-dubbo,randomforest,0.0,3.0,314.0,54.0,0.0,0.0,0.8463726884779517,0.0081081081081081,0.0,-0.0197642353760523,0.1365974997553945
within,jimfs,randomforest,15.0,2.0,42.0,9.0,0.8666666666666666,0.6666666666666666,0.8404761904761905,0.25,0.7233333333333334,0.658669411662,0.8436904761904762
within,oci-java-sdk,randomforest,1.0,4.0,34.0,8.0,0.05,0.1,0.75,0.1,0.0666666666666666,-0.0045875854768068,0.5472222222222223
within,openpojo,randomforest,0.0,1.0,135.0,2.0,0.0,0.0,0.9785714285714286,0.0071428571428571,0.0,0.0,0.7678571428571428
within,oryx,randomforest,8.0,3.0,61.0,29.0,0.5833333333333333,0.2166666666666666,0.6818181818181818,0.1081818181818181,0.3085714285714285,0.2471431291803171,0.6815909090909091
within,querydsl,randomforest,20.0,1.0,437.0,127.0,0.875,0.1357142857142857,0.7811805961426066,0.035885447106955,0.2293730650154798,0.2917763048345962,0.6011976536900404
within,retrofit,randomforest,0.0,1.0,91.0,6.0,0.0,0.0,0.928888888888889,0.0111111111111111,0.0,0.0,0.4666666666666667
within,riptide,randomforest,0.0,0.0,50.0,6.0,0.0,0.0,0.9,0.0,0.0,0.0,0.5833333333333334
within,rxjava2-extras,randomforest,0.0,2.0,85.0,3.0,0.0,0.0,0.9444444444444444,0.0222222222222222,0.0,-0.0125,0.4351851851851852
within,spring-boot,randomforest,2.0,2.0,11.0,5.0,0.2,0.2,0.65,0.2,0.2,0.2,0.75
within,spring-ws,randomforest,0.0,0.0,136.0,17.0,0.0,0.0,0.8891666666666668,0.0,0.0,0.0,0.0743108974358974
within,struts,randomforest,4.0,7.0,78.0,16.0,0.225,0.2,0.7809090909090909,0.1045454545454545,0.2,0.1238713149039496,0.4728941197691197
within,unix4j,randomforest,3.0,0.0,72.0,2.0,0.3,0.3,0.975,0.0375,0.3,0.3,0.8291666666666668
within,wikidata-toolkit,randomforest,0.0,1.0,179.0,20.0,0.0,0.0,0.8950000000000001,0.005,0.0,-0.0076471911290187,0.3516081871345029
within,wro4j,randomforest,30.0,5.0,275.0,33.0,0.8800000000000001,0.4809523809523809,0.8894117647058823,0.1021848739495798,0.6016666666666668,0.5883429997586539,0.7359823851228925
within,yawp,randomforest,0.0,0.0,46.0,4.0,0.0,0.0,0.9200000000000002,0.0,0.0,0.0,0.6
within,total,bestModel,435.0,239.0,5044.0,817.0,0.6454005934718101,0.347444089456869,0.8384085692425401,0.09134457371107758,0.4517133956386293,0.3910459497800503,0.5904654735390108
