,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,13.0,25.0,2.0,0.1875,0.6,0.6511627906976745,0.37209302325581395,0.2857142857142857,0.17103201255244233,0.4599775061539767
1,5.0,21.0,17.0,0.0,0.19230769230769232,1.0,0.5116279069767442,0.6046511627906976,0.32258064516129037,0.2933127829876625,0.18165556665556665
2,3.0,17.0,21.0,2.0,0.15,0.6,0.5581395348837209,0.46511627906976744,0.24,0.09809396326630206,0.25903119868637114
3,4.0,13.0,24.0,2.0,0.23529411764705882,0.6666666666666666,0.6511627906976745,0.3953488372093023,0.3478260869565218,0.22346546633137074,0.3170771179285111
4,3.0,11.0,26.0,3.0,0.21428571428571427,0.5,0.6744186046511628,0.32558139534883723,0.3,0.14989012085230063,0.5057756570914466
5,3.0,17.0,20.0,3.0,0.15,0.5,0.5348837209302325,0.46511627906976744,0.23076923076923075,0.028163531185500565,0.22062313550854343
6,1.0,16.0,21.0,4.0,0.058823529411764705,0.2,0.5238095238095238,0.40476190476190477,0.0909090909090909,-0.15335153459862078,0.07486125180122982
7,4.0,16.0,21.0,1.0,0.2,0.8,0.5952380952380952,0.47619047619047616,0.32000000000000006,0.23833987665914574,0.29935817805383025
8,1.0,15.0,22.0,4.0,0.0625,0.2,0.5476190476190477,0.38095238095238093,0.09523809523809523,-0.1369780776730122,0.09758991395601302
9,5.0,12.0,25.0,0.0,0.29411764705882354,1.0,0.7142857142857143,0.40476190476190477,0.45454545454545453,0.4457893447634325,0.6651731601731602
10,32.0,151.0,222.0,21.0,0.17448287007110536,0.6066666666666667,0.596234772978959,0.4294573643410852,0.26875828892939696,0.13577574863265243,0.30811226860086494
