,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,16.0,19.0,9.0,3.0,0.45714285714285713,0.8421052631578947,0.5319148936170213,0.7446808510638298,0.5925925925925926,0.18405125844657513,0.46307058020119624
1,11.0,15.0,13.0,8.0,0.4230769230769231,0.5789473684210527,0.5106382978723404,0.5531914893617021,0.4888888888888889,0.042675213106146484,0.5379316769904117
2,14.0,19.0,9.0,5.0,0.42424242424242425,0.7368421052631579,0.48936170212765956,0.7021276595744681,0.5384615384615385,0.0625294904874002,0.4435413408264734
3,13.0,19.0,9.0,6.0,0.40625,0.6842105263157895,0.46808510638297873,0.6808510638297872,0.5098039215686275,0.005936696126824721,0.5741722603505264
4,12.0,19.0,9.0,6.0,0.3870967741935484,0.6666666666666666,0.45652173913043476,0.6739130434782609,0.4897959183673469,-0.012393943320395888,0.46413895063930816
5,14.0,15.0,12.0,5.0,0.4827586206896552,0.7368421052631579,0.5652173913043478,0.6304347826086957,0.5833333333333334,0.18492720525389514,0.4412126296829069
6,17.0,16.0,11.0,2.0,0.5151515151515151,0.8947368421052632,0.6086956521739131,0.717391304347826,0.6538461538461537,0.33040329483301567,0.5951594281231689
7,16.0,18.0,9.0,3.0,0.47058823529411764,0.8421052631578947,0.5434782608695652,0.7391304347826086,0.6037735849056604,0.19672236884115843,0.4467957704874178
8,12.0,21.0,6.0,7.0,0.36363636363636365,0.631578947368421,0.391304347826087,0.717391304347826,0.46153846153846156,-0.15987256201597533,0.37921840423400127
9,14.0,17.0,10.0,5.0,0.45161290322580644,0.7368421052631579,0.5217391304347826,0.6739130434782609,0.56,0.11261014832172532,0.4137797905657583
10,139.0,178.0,97.0,50.0,0.4381556616653211,0.7350877192982456,0.508695652173913,0.6833024976873265,0.5482034393502604,0.09475891700803699,0.47590208321011696
