,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,16.0,12.0,16.0,3.0,0.5714285714285714,0.8421052631578947,0.6808510638297872,0.5957446808510638,0.6808510638297872,0.41353383458646614,0.6629635183135589
1,12.0,11.0,17.0,7.0,0.5217391304347826,0.631578947368421,0.6170212765957447,0.48936170212765956,0.5714285714285715,0.23435723526078794,0.654559618287161
2,15.0,9.0,19.0,4.0,0.625,0.7894736842105263,0.723404255319149,0.5106382978723404,0.6976744186046512,0.45948780771603304,0.6774216125419932
3,11.0,13.0,15.0,8.0,0.4583333333333333,0.5789473684210527,0.5531914893617021,0.5106382978723404,0.5116279069767442,0.11256528622762256,0.5898620220764678
4,10.0,12.0,16.0,8.0,0.45454545454545453,0.5555555555555556,0.5652173913043478,0.4782608695652174,0.5,0.12406456138646277,0.5405922579835623
5,14.0,17.0,10.0,5.0,0.45161290322580644,0.7368421052631579,0.5217391304347826,0.6739130434782609,0.56,0.11261014832172532,0.423926464765765
6,15.0,12.0,15.0,4.0,0.5555555555555556,0.7894736842105263,0.6521739130434783,0.5869565217391305,0.6521739130434783,0.34502923976608185,0.6354975247154544
7,15.0,13.0,14.0,4.0,0.5357142857142857,0.7894736842105263,0.6304347826086957,0.6086956521739131,0.6382978723404255,0.3107299650387684,0.5814808761033017
8,13.0,11.0,16.0,6.0,0.5416666666666666,0.6842105263157895,0.6304347826086957,0.5217391304347826,0.6046511627906976,0.27284292741384053,0.6149980930587338
9,15.0,8.0,19.0,4.0,0.6521739130434783,0.7894736842105263,0.7391304347826086,0.5,0.7142857142857143,0.48566186425718266,0.7205377574370709
10,136.0,118.0,157.0,53.0,0.5367769813947935,0.7187134502923976,0.631359851988899,0.5475948196114708,0.613099062330007,0.2870882869974971,0.6101839745283069
