,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc
0,1.0,4.0,6.0,0.0,0.2,1.0,0.6363636363636364,0.45454545454545453,0.33333333333333337,0.3464101615137754
1,2.0,2.0,7.0,0.0,0.5,1.0,0.8181818181818182,0.36363636363636365,0.6666666666666666,0.6236095644623235
2,1.0,4.0,5.0,1.0,0.2,0.5,0.5454545454545454,0.45454545454545453,0.28571428571428575,0.04303314829119352
3,0.0,7.0,2.0,2.0,0.0,0.0,0.18181818181818182,0.6363636363636364,0.0,-0.6236095644623235
4,1.0,6.0,3.0,1.0,0.14285714285714285,0.5,0.36363636363636365,0.6363636363636364,0.22222222222222224,-0.1336306209562122
5,2.0,4.0,5.0,0.0,0.3333333333333333,1.0,0.6363636363636364,0.5454545454545454,0.5,0.43033148291193524
6,0.0,4.0,5.0,2.0,0.0,0.0,0.45454545454545453,0.36363636363636365,0.0,-0.3563483225498992
7,0.0,1.0,8.0,2.0,0.0,0.0,0.7272727272727273,0.09090909090909091,0.0,-0.14907119849998599
8,1.0,4.0,5.0,1.0,0.2,0.5,0.5454545454545454,0.45454545454545453,0.28571428571428575,0.04303314829119352
9,1.0,1.0,8.0,0.0,0.5,1.0,0.9,0.2,0.6666666666666666,0.6666666666666666
10,9.0,37.0,54.0,9.0,0.2076190476190476,0.55,0.5809090909090908,0.296031746031746,0.0890424465668667,
