,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,1.0,2.0,3.0,0.75,0.5,0.5555555555555556,0.4444444444444444,0.6,0.15811388300841897,0.6298611111111111
1,3.0,0.0,2.0,4.0,1.0,0.42857142857142855,0.5555555555555556,0.3333333333333333,0.6,0.3779644730092272,1.0
2,1.0,0.0,2.0,6.0,1.0,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.25,0.1889822365046136,0.9004251700680272
3,7.0,1.0,1.0,0.0,0.875,1.0,0.8888888888888888,0.8888888888888888,0.9333333333333333,0.6614378277661476,0.8587585034013605
4,2.0,0.0,2.0,4.0,1.0,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.8575396825396825
5,6.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.875,0.875,0.923076923076923,0.6546536707079772,0.6630952380952381
6,4.0,1.0,1.0,2.0,0.8,0.6666666666666666,0.625,0.625,0.7272727272727272,0.14907119849998599,0.9436507936507936
7,2.0,1.0,1.0,4.0,0.6666666666666666,0.3333333333333333,0.375,0.375,0.4444444444444444,-0.14907119849998599,0.6630952380952381
8,3.0,1.0,1.0,3.0,0.75,0.5,0.5,0.5,0.6,0.0,0.6630952380952381
9,2.0,1.0,1.0,4.0,0.6666666666666666,0.3333333333333333,0.375,0.375,0.4444444444444444,-0.14907119849998599,0.6630952380952381
10,33.0,7.0,14.0,30.0,0.8365476190476191,0.5238095238095237,0.5583333333333333,0.47777777777777775,0.6022571872571871,0.22254142258297321,0.7842616213151927
