,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,27.0,29.0,86.0,18.0,0.48214285714285715,0.6,0.70625,0.35,0.5346534653465347,0.3278737477409806,0.47941694872958174
1,33.0,13.0,102.0,12.0,0.717391304347826,0.7333333333333333,0.84375,0.2875,0.7252747252747253,0.6161954878519987,0.7072894682313003
2,35.0,25.0,90.0,10.0,0.5833333333333334,0.7777777777777778,0.78125,0.375,0.6666666666666666,0.5204358386562267,0.6743574969771712
3,30.0,22.0,93.0,15.0,0.5769230769230769,0.6666666666666666,0.76875,0.325,0.6185567010309277,0.4563167182510215,0.5322908901527323
4,33.0,23.0,92.0,12.0,0.5892857142857143,0.7333333333333333,0.78125,0.35,0.6534653465346534,0.5027397465361703,0.6508610590065026
5,32.0,25.0,90.0,13.0,0.5614035087719298,0.7111111111111111,0.7625,0.35625,0.6274509803921567,0.46353196383736667,0.559638112184658
6,32.0,19.0,96.0,13.0,0.6274509803921569,0.7111111111111111,0.8,0.31875,0.6666666666666666,0.5267019643470165,0.6502323443951633
7,30.0,28.0,87.0,15.0,0.5172413793103449,0.6666666666666666,0.73125,0.3625,0.5825242718446603,0.39579914809765526,0.4794341927799505
8,34.0,18.0,96.0,12.0,0.6538461538461539,0.7391304347826086,0.8125,0.325,0.693877551020408,0.5616555718239351,0.5892458339708979
9,36.0,13.0,101.0,10.0,0.7346938775510204,0.782608695652174,0.85625,0.30625,0.7578947368421053,0.6564793065055065,0.6937353131253798
10,322.0,215.0,933.0,130.0,0.6043712185904414,0.7121739130434782,0.784375,0.33562499999999995,0.6527031111619505,0.5027729493647878,0.6016501659553338
