,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,17.0,7.0,108.0,28.0,0.7083333333333334,0.37777777777777777,0.78125,0.15,0.49275362318840576,0.3990373943570855,0.5724701361827664
1,15.0,5.0,110.0,30.0,0.75,0.3333333333333333,0.78125,0.125,0.46153846153846156,0.39405520311955033,0.7349597627435661
2,18.0,5.0,110.0,27.0,0.782608695652174,0.4,0.8,0.14375,0.5294117647058824,0.45689561695287656,0.7186816347680123
3,18.0,6.0,109.0,27.0,0.75,0.4,0.79375,0.15,0.5217391304347827,0.4379678718553378,0.6044244698296413
4,22.0,3.0,112.0,23.0,0.88,0.4888888888888889,0.8375,0.15625,0.6285714285714286,0.5730776246352474,0.7804004534711669
5,19.0,10.0,105.0,26.0,0.6551724137931034,0.4222222222222222,0.775,0.18125,0.5135135135135135,0.391299826453062,0.578019083547022
6,17.0,12.0,103.0,28.0,0.5862068965517241,0.37777777777777777,0.75,0.18125,0.45945945945945943,0.3191292532743992,0.6553424257452231
7,16.0,8.0,107.0,29.0,0.6666666666666666,0.35555555555555557,0.76875,0.15,0.46376811594202905,0.3601069168588333,0.6169269265811149
8,17.0,6.0,108.0,29.0,0.7391304347826086,0.3695652173913043,0.78125,0.14375,0.49275362318840565,0.4088608021514947,0.6933344434657512
9,13.0,4.0,110.0,33.0,0.7647058823529411,0.2826086956521739,0.76875,0.10625,0.4126984126984127,0.363538885555792,0.7328523374901148
10,172.0,66.0,1082.0,280.0,0.7282824323132552,0.38077294685990337,0.78375,0.14875,0.49762075332407807,0.4103969395213679,0.6687411673824378
