,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,27.0,22.0,93.0,18.0,0.5510204081632653,0.6,0.75,0.30625,0.5744680851063829,0.3986535769971527,0.606119382421712
1,32.0,9.0,106.0,13.0,0.7804878048780488,0.7111111111111111,0.8625,0.25625,0.7441860465116279,0.6517645245821156,0.7383338674884107
2,33.0,23.0,92.0,12.0,0.5892857142857143,0.7333333333333333,0.78125,0.35,0.6534653465346534,0.5027397465361703,0.7034360989887768
3,29.0,17.0,98.0,16.0,0.6304347826086957,0.6444444444444445,0.79375,0.2875,0.6373626373626373,0.49334031270393663,0.5716937548076902
4,32.0,19.0,96.0,13.0,0.6274509803921569,0.7111111111111111,0.8,0.31875,0.6666666666666666,0.5267019643470165,0.7559368288589827
5,30.0,23.0,92.0,15.0,0.5660377358490566,0.6666666666666666,0.7625,0.33125,0.6122448979591837,0.4457918602313897,0.5367553322095987
6,29.0,19.0,96.0,16.0,0.6041666666666666,0.6444444444444445,0.78125,0.3,0.6236559139784946,0.4701829470330664,0.5953571960636866
7,28.0,22.0,93.0,17.0,0.56,0.6222222222222222,0.75625,0.3125,0.5894736842105264,0.41799235745587976,0.595255118868332
8,32.0,14.0,100.0,14.0,0.6956521739130435,0.6956521739130435,0.825,0.2875,0.6956521739130435,0.5728451563691839,0.6767107009063154
9,36.0,10.0,104.0,10.0,0.782608695652174,0.782608695652174,0.875,0.2875,0.782608695652174,0.6948893974065599,0.7511572548452554
10,308.0,178.0,970.0,144.0,0.6387144962408821,0.6811594202898551,0.79875,0.30375,0.657978414789539,0.5174901843662472,0.653075553545876
