,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc
0,1.0,13.0,19.0,5.0,0.07142857142857142,0.16666666666666666,0.5263157894736842,0.3684210526315789,0.1,-0.18110797665025472
1,1.0,14.0,18.0,4.0,0.06666666666666667,0.2,0.5135135135135135,0.40540540540540543,0.1,-0.16537377315791293
2,3.0,24.0,8.0,2.0,0.1111111111111111,0.6,0.2972972972972973,0.7297297297297297,0.18750000000000003,-0.11547005383792515
3,2.0,12.0,20.0,3.0,0.14285714285714285,0.4,0.5945945945945946,0.3783783783783784,0.21052631578947364,0.017622684421256033
4,2.0,14.0,18.0,3.0,0.125,0.4,0.5405405405405406,0.43243243243243246,0.19047619047619047,-0.025877458475338285
5,3.0,19.0,13.0,2.0,0.13636363636363635,0.6,0.43243243243243246,0.5945945945945946,0.22222222222222218,0.004351941398892446
6,2.0,13.0,19.0,3.0,0.13333333333333333,0.4,0.5675675675675675,0.40540540540540543,0.2,-0.004351941398892446
7,2.0,10.0,21.0,4.0,0.16666666666666666,0.3333333333333333,0.6216216216216216,0.32432432432432434,0.2222222222222222,0.008466675133346034
8,1.0,11.0,20.0,5.0,0.08333333333333333,0.16666666666666666,0.5675675675675675,0.32432432432432434,0.1111111111111111,-0.14816681483355557
9,3.0,10.0,21.0,3.0,0.23076923076923078,0.5,0.6486486486486487,0.35135135135135137,0.3157894736842105,0.13698725738134743
10,20.0,140.0,177.0,34.0,0.12675296925296925,0.37666666666666665,0.5310099573257467,0.185984753550543,-0.047291946001903715,
