,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc
0,3.0,12.0,16.0,4.0,0.2,0.42857142857142855,0.5428571428571428,0.42857142857142855,0.27272727272727276,0.0
1,4.0,16.0,12.0,3.0,0.2,0.5714285714285714,0.45714285714285713,0.5714285714285714,0.29629629629629634,0.0
2,3.0,14.0,14.0,4.0,0.17647058823529413,0.42857142857142855,0.4857142857142857,0.4857142857142857,0.25,-0.05716619504750295
3,5.0,15.0,13.0,1.0,0.25,0.8333333333333334,0.5294117647058824,0.5882352941176471,0.3846153846153846,0.23053472298853672
4,3.0,13.0,15.0,3.0,0.1875,0.5,0.5294117647058824,0.47058823529411764,0.2727272727272727,0.027277236279499045
5,3.0,11.0,17.0,3.0,0.21428571428571427,0.5,0.5882352941176471,0.4117647058823529,0.3,0.08299250027587322
6,2.0,15.0,13.0,4.0,0.11764705882352941,0.3333333333333333,0.4411764705882353,0.5,0.1739130434782609,-0.1543033499620919
7,3.0,15.0,13.0,3.0,0.16666666666666666,0.5,0.47058823529411764,0.5294117647058824,0.25,-0.027277236279499045
8,2.0,10.0,18.0,4.0,0.16666666666666666,0.3333333333333333,0.5882352941176471,0.35294117647058826,0.2222222222222222,-0.018993429409939658
9,3.0,16.0,12.0,3.0,0.15789473684210525,0.5,0.4411764705882353,0.5588235294117647,0.23999999999999996,-0.05484084971070818
10,31.0,137.0,143.0,32.0,0.18371314315199766,0.49285714285714277,0.5073949579831932,0.26625014920667095,0.002822339913416725,
