,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,14.0,35.0,177.0,12.0,0.2857142857142857,0.5384615384615384,0.8025210084033614,0.20588235294117646,0.3733333333333333,0.28804598353538274,0.4372979961215255
1,17.0,47.0,165.0,9.0,0.265625,0.6538461538461539,0.7647058823529411,0.2689075630252101,0.37777777777777777,0.30403427180831494,0.3007783853507958
2,14.0,43.0,169.0,11.0,0.24561403508771928,0.56,0.7721518987341772,0.24050632911392406,0.3414634146341463,0.25670776097510706,0.3441474164830144
3,15.0,41.0,171.0,10.0,0.26785714285714285,0.6,0.7848101265822784,0.23628691983122363,0.37037037037037035,0.29401943504510286,0.26509763680051524
4,13.0,36.0,176.0,12.0,0.2653061224489796,0.52,0.7974683544303798,0.20675105485232068,0.35135135135135137,0.26562140675799967,0.41796951692069234
5,16.0,43.0,169.0,9.0,0.2711864406779661,0.64,0.7805907172995781,0.2489451476793249,0.38095238095238093,0.3105647010210591,0.2697135692727952
6,15.0,49.0,163.0,10.0,0.234375,0.6,0.7510548523206751,0.270042194092827,0.33707865168539325,0.2552088839810715,0.2322627850299323
7,12.0,36.0,175.0,14.0,0.25,0.46153846153846156,0.7890295358649789,0.20253164556962025,0.32432432432432434,0.2262317029248367,0.38530509574813376
8,17.0,52.0,159.0,9.0,0.2463768115942029,0.6538461538461539,0.7426160337552743,0.2911392405063291,0.3578947368421053,0.28026601571617843,0.3410607494027118
9,19.0,41.0,170.0,7.0,0.31666666666666665,0.7307692307692307,0.7974683544303798,0.25316455696202533,0.44186046511627913,0.3855672181953567,0.3457083272707058
10,152.0,423.0,1694.0,103.0,0.26487215050469637,0.5958461538461539,0.7782416764174024,0.2424157004573982,0.3656406806387462,0.28662673799604094,0.33393414784008224
