,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,3.0,7.0,0.0,0.25,1.0,0.7272727272727273,0.36363636363636365,0.4,0.4183300132670378,0.125
1,1.0,4.0,12.0,0.0,0.2,1.0,0.7647058823529411,0.29411764705882354,0.33333333333333337,0.3872983346207417,0.1
2,0.0,3.0,8.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,
3,0.0,6.0,7.0,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,
4,0.0,5.0,19.0,0.0,0.0,0.0,0.7916666666666666,0.20833333333333334,0.0,0.0,
5,1.0,3.0,12.0,0.0,0.25,1.0,0.8125,0.25,0.4,0.4472135954999579,0.125
6,0.0,3.0,7.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,
7,0.0,3.0,8.0,1.0,0.0,0.0,0.6666666666666666,0.25,0.0,-0.17407765595569785,0.1
8,0.0,2.0,10.0,1.0,0.0,0.0,0.7692307692307693,0.15384615384615385,0.0,-0.12309149097933272,0.038461538461538464
9,0.0,3.0,8.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,
10,3.0,35.0,98.0,2.0,0.06999999999999999,0.3,0.7225049705196764,0.2826926504867681,0.11333333333333333,0.09556727964527069,0.0976923076923077
