,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,2.0,13.0,1.0,0.0,0.0,0.8125,0.125,0.0,-0.09759000729485333,0.07142857142857142
1,0.0,2.0,15.0,1.0,0.0,0.0,0.8333333333333334,0.1111111111111111,0.0,-0.08574929257125441,0.05555555555555555
2,0.0,4.0,12.0,1.0,0.0,0.0,0.7058823529411765,0.23529411764705882,0.0,-0.1386750490563073,0.0625
3,0.0,7.0,6.0,1.0,0.0,0.0,0.42857142857142855,0.5,0.0,-0.2773500981126146,0.05
4,0.0,2.0,11.0,1.0,0.0,0.0,0.7857142857142857,0.14285714285714285,0.0,-0.11322770341445956,0.05
5,0.0,4.0,5.0,3.0,0.0,0.0,0.4166666666666667,0.3333333333333333,0.0,-0.408248290463863,0.17962962962962964
6,0.0,3.0,9.0,2.0,0.0,0.0,0.6428571428571429,0.21428571428571427,0.0,-0.21320071635561044,0.16309523809523807
7,0.0,1.0,11.0,2.0,0.0,0.0,0.7857142857142857,0.07142857142857142,0.0,-0.11322770341445956,0.125
8,0.0,0.0,11.0,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.041666666666666664
9,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
10,0.0,25.0,102.0,13.0,0.0,0.0,0.7327906162464987,0.17333099906629318,0.0,-0.14472688606834222,0.08876396237507347
