,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,10.0,2.0,0.0,0.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.9090909090909091,0.0,0.8834848484848485
1,9.0,2.0,1.0,0.0,0.8181818181818182,1.0,0.8333333333333334,0.9166666666666666,0.9,0.5222329678670935,0.9031705948372616
2,8.0,2.0,0.0,0.0,0.8,1.0,0.8,1.0,0.888888888888889,0.0,0.9149305555555556
3,10.0,3.0,0.0,0.0,0.7692307692307693,1.0,0.7692307692307693,1.0,0.8695652173913044,0.0,0.8846153846153846
4,9.0,2.0,1.0,0.0,0.8181818181818182,1.0,0.8333333333333334,0.9166666666666666,0.9,0.5222329678670935,0.929405162738496
5,9.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
6,5.0,0.0,2.0,1.0,1.0,0.8333333333333334,0.875,0.625,0.9090909090909091,0.7453559924999299,0.9553571428571429
7,6.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.875,0.875,0.923076923076923,0.6546536707079772,0.8761904761904762
8,9.0,1.0,0.0,0.0,0.9,1.0,0.9,1.0,0.9473684210526316,0.0,0.9388888888888889
9,5.0,2.0,0.0,1.0,0.7142857142857143,0.8333333333333334,0.625,0.875,0.7692307692307692,-0.2182178902359924,0.8581349206349207
10,80.0,15.0,6.0,2.0,0.8510356310356311,0.9666666666666668,0.8344230769230769,0.9108333333333333,0.9016312037822335,0.3226257708706101,0.9144177974802975
