,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,6.0,1.0,0.0,0.4,1.0,0.45454545454545453,0.9090909090909091,0.5714285714285715,0.23904572186687872,1.0
1,7.0,8.0,2.0,2.0,0.4666666666666667,0.7777777777777778,0.47368421052631576,0.7894736842105263,0.5833333333333334,-0.027216552697590865,0.72755460149681
2,0.0,7.0,3.0,2.0,0.0,0.0,0.25,0.5833333333333334,0.0,-0.5291502622129182,0.09217171717171717
3,4.0,3.0,0.0,1.0,0.5714285714285714,0.8,0.5,0.875,0.6666666666666666,-0.29277002188455997,0.554642857142857
4,10.0,6.0,2.0,0.0,0.625,1.0,0.6666666666666666,0.8888888888888888,0.7692307692307693,0.3952847075210474,0.789489121989122
5,7.0,7.0,2.0,1.0,0.5,0.875,0.5294117647058824,0.8235294117647058,0.6363636363636364,0.1272937693043289,0.5991301539555216
6,6.0,12.0,0.0,1.0,0.3333333333333333,0.8571428571428571,0.3157894736842105,0.9473684210526315,0.48,-0.3086066999241838,0.35523379024042445
7,9.0,6.0,1.0,1.0,0.6,0.9,0.5882352941176471,0.8823529411764706,0.7200000000000001,0.06546536707079773,0.7546112221112221
8,7.0,5.0,2.0,4.0,0.5833333333333334,0.6363636363636364,0.5,0.6666666666666666,0.6086956521739131,-0.08058229640253803,0.5810173560842009
9,2.0,6.0,0.0,1.0,0.25,0.6666666666666666,0.2222222222222222,0.8888888888888888,0.36363636363636365,-0.5,0.625
10,56.0,66.0,13.0,13.0,0.4329761904761905,0.7512950937950938,0.4500555086468399,0.8254593145073021,0.5399354992833254,-0.09112362673587382,0.6078850820191875
