,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,2.0,4.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
1,1.0,1.0,2.0,0.0,0.5,1.0,0.75,0.5,0.6666666666666666,0.5773502691896258,0.25
2,2.0,5.0,3.0,0.0,0.2857142857142857,1.0,0.5,0.7,0.4444444444444445,0.3273268353539886,0.16309523809523807
3,2.0,4.0,5.0,0.0,0.3333333333333333,1.0,0.6363636363636364,0.5454545454545454,0.5,0.43033148291193524,0.5083333333333333
4,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
5,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
6,2.0,4.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.8571428571428571,0.4444444444444444,-0.47140452079103173,0.5686507936507936
7,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
8,0.0,3.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
9,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
10,7.0,25.0,23.0,1.0,0.14523809523809522,0.36666666666666664,0.5338744588744588,0.5435930735930736,0.20555555555555555,0.0863604066664518,0.3725198412698413
