,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,31.0,72.0,87.0,47.0,0.30097087378640774,0.3974358974358974,0.4978902953586498,0.4345991561181435,0.34254143646408836,-0.052509739288997805,0.44835950375461253
1,32.0,71.0,96.0,48.0,0.3106796116504854,0.4,0.5182186234817814,0.41700404858299595,0.34972677595628415,-0.02386910802213234,0.45250579772807675
2,46.0,84.0,74.0,39.0,0.35384615384615387,0.5411764705882353,0.49382716049382713,0.5349794238683128,0.42790697674418604,0.0091129936030878,0.5277582257974416
3,29.0,83.0,78.0,44.0,0.25892857142857145,0.3972602739726027,0.45726495726495725,0.47863247863247865,0.31351351351351353,-0.10968607740250547,0.4221115167176811
4,36.0,71.0,74.0,40.0,0.3364485981308411,0.47368421052631576,0.497737556561086,0.4841628959276018,0.3934426229508196,-0.015180202187882574,0.49556414188513953
5,36.0,85.0,86.0,50.0,0.2975206611570248,0.4186046511627907,0.47470817120622566,0.4708171206225681,0.3478260869565218,-0.07418163286399616,0.4553389207513474
6,31.0,81.0,83.0,45.0,0.2767857142857143,0.40789473684210525,0.475,0.4666666666666667,0.3297872340425532,-0.08019588216275714,0.43609022556390975
7,52.0,70.0,80.0,43.0,0.4262295081967213,0.5473684210526316,0.5387755102040817,0.49795918367346936,0.47926267281105994,0.07864261337639097,0.5745540666654928
8,23.0,75.0,80.0,36.0,0.23469387755102042,0.3898305084745763,0.48130841121495327,0.45794392523364486,0.29299363057324845,-0.08434601404524687,0.39637434254550863
9,37.0,78.0,82.0,37.0,0.3217391304347826,0.5,0.5085470085470085,0.49145299145299143,0.39153439153439157,0.011626887312864227,0.4899293942772203
10,353.0,770.0,820.0,429.0,0.3117842700467723,0.4473255170055155,0.494327769433257,0.4734217890778873,0.36685353415466665,-0.03405861616811754,0.46985861356864306
