,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,7.0,2.0,2.0,0.3,0.6,0.35714285714285715,0.7142857142857143,0.4,-0.18856180831641267,0.22831973581973583
1,4.0,9.0,1.0,2.0,0.3076923076923077,0.6666666666666666,0.3125,0.8125,0.42105263157894735,-0.28941438070815306,0.4167244792244792
2,3.0,2.0,4.0,2.0,0.6,0.6,0.6363636363636364,0.45454545454545453,0.6,0.26666666666666666,0.4977777777777777
3,2.0,6.0,0.0,2.0,0.25,0.5,0.2,0.8,0.3333333333333333,-0.6123724356957946,0.25625
4,2.0,9.0,2.0,0.0,0.18181818181818182,1.0,0.3076923076923077,0.8461538461538461,0.3076923076923077,0.18181818181818182,0.29166666666666663
5,4.0,3.0,2.0,1.0,0.5714285714285714,0.8,0.6,0.7,0.6666666666666666,0.2182178902359924,0.9055555555555556
6,5.0,2.0,3.0,0.0,0.7142857142857143,1.0,0.8,0.7,0.8333333333333333,0.6546536707079772,0.7514285714285713
7,3.0,5.0,2.0,2.0,0.375,0.6,0.4166666666666667,0.6666666666666666,0.4615384615384615,-0.11952286093343936,0.5501370851370851
8,4.0,8.0,1.0,3.0,0.3333333333333333,0.5714285714285714,0.3125,0.75,0.4210526315789474,-0.363696483726654,0.3232557125414268
9,3.0,6.0,1.0,4.0,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.6428571428571429,0.375,-0.4472135954999579,0.47697302697302696
10,33.0,57.0,18.0,18.0,0.39668914418914425,0.6766666666666667,0.4228579753579754,0.7087008824508826,0.4819669365721998,-0.06994251554515933,0.4698088611124326
