,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,5.0,5.0,22.0,28.0,0.5,0.15151515151515152,0.45,0.16666666666666666,0.23255813953488375,-0.04494665749754947,0.5587706234417805
1,4.0,3.0,29.0,19.0,0.5714285714285714,0.17391304347826086,0.6,0.12727272727272726,0.26666666666666666,0.1186433677286857,0.5246670710913489
2,3.0,4.0,30.0,20.0,0.42857142857142855,0.13043478260869565,0.5789473684210527,0.12280701754385964,0.2,0.019114484997483857,0.3560019988095902
3,0.0,1.0,25.0,26.0,0.0,0.0,0.4807692307692308,0.019230769230769232,0.0,-0.14002800840280097,0.5673009079697918
4,1.0,2.0,41.0,28.0,0.3333333333333333,0.034482758620689655,0.5833333333333334,0.041666666666666664,0.0625,-0.02952384112303961,0.3548545476443273
5,1.0,2.0,29.0,16.0,0.3333333333333333,0.058823529411764705,0.625,0.0625,0.1,-0.011247320293685128,0.3050853291651126
6,2.0,5.0,25.0,17.0,0.2857142857142857,0.10526315789473684,0.5510204081632653,0.14285714285714285,0.15384615384615385,-0.08549819600709617,0.3286407544694445
7,1.0,3.0,29.0,11.0,0.25,0.08333333333333333,0.6818181818181818,0.09090909090909091,0.125,-0.01613743060919757,0.23232283961450628
8,1.0,3.0,32.0,19.0,0.25,0.05,0.6,0.07272727272727272,0.08333333333333334,-0.06615701550312039,0.3566144658637459
9,2.0,6.0,42.0,18.0,0.25,0.1,0.6470588235294118,0.11764705882352941,0.14285714285714288,-0.035355339059327376,0.30028396011541364
10,20.0,34.0,304.0,202.0,0.32023809523809527,0.08877657568626326,0.5797947346034475,0.09642844126977254,0.13667614362381802,-0.02911359557696471,0.3884542498185062
