,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,1.0,9.0,0.0,0.5,1.0,0.9090909090909091,0.18181818181818182,0.6666666666666666,0.6708203932499369,1.0
1,0.0,3.0,13.0,1.0,0.0,0.0,0.7647058823529411,0.17647058823529413,0.0,-0.11572751247156893,0.125
2,0.0,3.0,8.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,
3,0.0,5.0,8.0,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,
4,0.0,7.0,17.0,0.0,0.0,0.0,0.7083333333333334,0.2916666666666667,0.0,0.0,
5,0.0,5.0,10.0,1.0,0.0,0.0,0.625,0.3125,0.0,-0.17407765595569785,0.03125
6,0.0,1.0,9.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,
7,0.0,5.0,6.0,1.0,0.0,0.0,0.5,0.4166666666666667,0.0,-0.2548235957188128,0.08333333333333333
8,0.0,5.0,7.0,1.0,0.0,0.0,0.5384615384615384,0.38461538461538464,0.0,-0.22821773229381923,0.038461538461538464
9,0.0,1.0,10.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,
10,1.0,36.0,97.0,4.0,0.05,0.1,0.7197339914986973,0.2611989236253942,0.06666666666666667,-0.010202610318996195,0.25560897435897434
