,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,7.0,13.0,18.0,10.0,0.35,0.4117647058823529,0.5208333333333334,0.4166666666666667,0.37837837837837834,-0.007363099515889292,0.47831625477113715
1,14.0,10.0,19.0,8.0,0.5833333333333334,0.6363636363636364,0.6470588235294118,0.47058823529411764,0.6086956521739131,0.2892777973271914,0.3949956458575372
2,12.0,12.0,19.0,9.0,0.5,0.5714285714285714,0.5961538461538461,0.46153846153846156,0.5333333333333333,0.181428752857415,0.41477201717966095
3,7.0,9.0,14.0,16.0,0.4375,0.30434782608695654,0.45652173913043476,0.34782608695652173,0.358974358974359,-0.09128709291752769,0.5847794469527
4,11.0,9.0,25.0,11.0,0.55,0.5,0.6428571428571429,0.35714285714285715,0.5238095238095238,0.23982564472816717,0.5597132073392455
5,15.0,7.0,17.0,4.0,0.6818181818181818,0.7894736842105263,0.7441860465116279,0.5116279069767442,0.7317073170731707,0.494563940561802,0.4776979665128378
6,4.0,7.0,21.0,13.0,0.36363636363636365,0.23529411764705882,0.5555555555555556,0.24444444444444444,0.2857142857142857,-0.01659047278875783,0.45846793049953616
7,7.0,13.0,10.0,4.0,0.35,0.6363636363636364,0.5,0.5882352941176471,0.45161290322580644,0.06762904096897156,0.4621802753034878
8,11.0,8.0,18.0,9.0,0.5789473684210527,0.55,0.6304347826086957,0.41304347826086957,0.5641025641025641,0.24395526237506301,0.6054296747489968
9,8.0,9.0,17.0,9.0,0.47058823529411764,0.47058823529411764,0.5813953488372093,0.3953488372093023,0.47058823529411764,0.1244343891402715,0.5049415966291737
10,96.0,97.0,178.0,93.0,0.486582348250305,0.5105624413276856,0.5874996618517258,0.42064622686076325,0.4906916552079452,0.15258741627367065,0.49412940157943125
