,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,1.0,63.0,1.0,0.6666666666666666,0.6666666666666666,0.9701492537313433,0.04477611940298507,0.6666666666666666,0.6510416666666666,0.7575757575757576
1,0.0,0.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
2,1.0,1.0,56.0,0.0,0.5,1.0,0.9827586206896551,0.034482758620689655,0.6666666666666666,0.7008766440504625,1.0
3,0.0,1.0,62.0,1.0,0.0,0.0,0.96875,0.015625,0.0,-0.015873015873015872,0.0078125
4,0.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5,0.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
6,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
7,1.0,0.0,52.0,0.0,1.0,1.0,1.0,0.018867924528301886,1.0,1.0,1.0
8,2.0,0.0,49.0,0.0,1.0,1.0,1.0,0.0392156862745098,1.0,1.0,1.0
9,0.0,1.0,66.0,1.0,0.0,0.0,0.9705882352941176,0.014705882352941176,0.0,-0.014925373134328358,0.007352941176470588
10,6.0,4.0,572.0,3.0,0.31666666666666665,0.36666666666666664,0.9892246109715115,0.01676733711794276,0.3333333333333333,0.3321119921709785,0.6287901997920381
