,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,11.0,60.0,159.0,13.0,0.15492957746478872,0.4583333333333333,0.6995884773662552,0.29218106995884774,0.23157894736842108,0.12094911668206357,0.12010223562727451
1,10.0,59.0,166.0,17.0,0.14492753623188406,0.37037037037037035,0.6984126984126984,0.27380952380952384,0.20833333333333334,0.07501396788352117,0.2542172189335604
2,9.0,40.0,185.0,15.0,0.1836734693877551,0.375,0.7791164658634538,0.19678714859437751,0.24657534246575347,0.14639953254451224,0.13797170289048566
3,14.0,32.0,153.0,13.0,0.30434782608695654,0.5185185185185185,0.7877358490566038,0.2169811320754717,0.3835616438356165,0.27947314694854614,0.2510664468128179
4,11.0,32.0,199.0,18.0,0.2558139534883721,0.3793103448275862,0.8076923076923077,0.16538461538461538,0.3055555555555556,0.20401649577886696,0.2197877322299109
5,11.0,49.0,141.0,15.0,0.18333333333333332,0.4230769230769231,0.7037037037037037,0.2777777777777778,0.25581395348837205,0.12000207617844769,0.145238979168561
6,12.0,43.0,157.0,8.0,0.21818181818181817,0.6,0.7681818181818182,0.25,0.32,0.2556038601690775,0.30748938820784616
7,15.0,52.0,144.0,13.0,0.22388059701492538,0.5357142857142857,0.7098214285714286,0.29910714285714285,0.3157894736842105,0.19531680975579963,0.16745563622615167
8,9.0,51.0,168.0,12.0,0.15,0.42857142857142855,0.7375,0.25,0.2222222222222222,0.12770236105969923,0.19377913104078592
9,13.0,49.0,178.0,16.0,0.20967741935483872,0.4482758620689655,0.74609375,0.2421875,0.2857142857142857,0.17194232444405935,0.1449947720966183
10,115.0,467.0,1650.0,140.0,0.20287655305446722,0.45371710664814113,0.7437846498848268,0.24642159104577566,0.277514475766777,0.16964196914445934,0.19421032432340124
