,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,2.0,1.0,4.0,0.6,0.42857142857142855,0.4,0.5,0.5,-0.2182178902359924,0.74328231292517
1,3.0,0.0,8.0,5.0,1.0,0.375,0.6875,0.1875,0.5454545454545454,0.48038446141526137,0.716504329004329
2,0.0,2.0,4.0,8.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,-0.47140452079103173,0.37873896936396934
3,1.0,1.0,5.0,15.0,0.5,0.0625,0.2727272727272727,0.09090909090909091,0.1111111111111111,-0.1613743060919757,0.645887911699154
4,1.0,1.0,2.0,3.0,0.5,0.25,0.42857142857142855,0.2857142857142857,0.3333333333333333,-0.09128709291752768,0.4625
5,2.0,1.0,4.0,8.0,0.6666666666666666,0.2,0.4,0.2,0.30769230769230765,0.0,0.7060980685980686
6,3.0,5.0,3.0,2.0,0.375,0.6,0.46153846153846156,0.6153846153846154,0.4615384615384615,-0.025,0.5602561327561327
7,12.0,7.0,0.0,0.0,0.631578947368421,1.0,0.631578947368421,1.0,0.7741935483870968,0.0,0.6866905357714181
8,7.0,0.0,4.0,5.0,1.0,0.5833333333333334,0.6875,0.4375,0.7368421052631579,0.5091750772173156,0.9599282661782661
9,3.0,3.0,6.0,9.0,0.5,0.25,0.42857142857142855,0.2857142857142857,0.3333333333333333,-0.09128709291752768,0.49359045684993824
10,35.0,22.0,37.0,59.0,0.5773245614035087,0.3749404761904762,0.46837018244912987,0.374557942057942,0.4103498746113347,-0.006901136432147825,0.6353476983146447
